Grasp120
Date:,2025/04/23
Time:,14:06:04
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
48,852.556763,628.636597,106.644859,894.598022,726.153625,119.613174,762.947876,700.207886,126.926109,1156.470947,856.022034,383.817352,1107.346436,872.799744,227.238266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,851.582458,627.237305,105.610924,893.428406,725.101990,118.853920,762.271729,698.712952,125.246445,1155.784424,855.841003,383.786682,1106.381470,873.240540,227.294342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,850.260803,626.007263,104.303001,892.812012,724.020569,118.376053,761.497803,697.224304,124.345863,1154.685181,855.582153,383.033356,1104.614502,872.303345,226.608994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,849.033203,625.025757,103.686447,891.543762,722.681274,117.765678,760.154053,696.014709,123.812119,1153.603149,855.223206,382.811584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,847.740479,624.246460,102.373810,890.034485,721.760803,117.166183,758.865906,694.389709,122.719139,1152.583740,854.918640,382.810822,,,,1102.248413,869.143921,225.993759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,846.823792,623.338257,101.080566,889.467712,720.702271,116.310013,758.418518,693.112061,121.358559,1151.484009,854.584412,382.661865,,,,1100.818970,869.901428,226.056946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,845.410706,622.746643,99.164124,889.051025,719.833496,115.507553,758.122009,691.623230,119.637703,1150.193604,854.351501,382.563019,,,,1099.633423,868.951599,225.344315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,844.498169,621.970337,98.116272,888.210754,719.042908,114.262115,758.134338,689.832520,117.278824,1149.349731,854.163391,382.129059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,843.661255,621.402222,96.700195,887.466736,718.153503,113.024139,758.419434,688.165588,115.778557,1148.677002,853.818115,381.787018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,842.130493,620.913452,94.613441,886.926575,717.296570,112.274452,758.375305,686.418396,113.581863,1147.553101,853.600830,381.421448,,,,,,,1096.756592,866.163757,223.937149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,840.276062,621.094910,92.462395,886.470825,716.474121,111.665260,758.311768,684.693237,110.587616,1146.522217,853.493225,381.425995,,,,,,,1096.077759,865.671143,223.225235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,838.901550,621.819031,90.108521,886.003540,715.487122,110.258751,,,,1145.402222,853.332947,381.299194,,,,,,,1095.598022,864.547241,222.264038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,837.397888,621.827942,87.995003,885.972229,714.511169,108.980118,,,,1144.357056,853.179260,381.049561,,,,,,,,,,758.593689,681.074463,107.180099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,836.058289,621.130615,86.534424,885.675232,713.674927,108.484314,,,,1143.209473,852.952637,380.639191,,,,,,,,,,759.444275,679.212097,104.994537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,835.733215,620.346924,85.729813,885.571045,713.256592,107.785416,,,,1142.444580,852.724548,380.585022,,,,,,,,,,760.388367,677.714355,102.871117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,835.720825,619.890625,85.327347,885.228699,712.808105,106.611603,,,,1141.653198,852.619019,380.480316,,,,,,,,,,761.172913,676.904114,101.888962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,835.706909,619.497253,84.991234,885.018005,712.060974,105.357094,,,,1140.655151,852.598816,380.150604,,,,,,,,,,761.264954,676.743042,101.203896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,835.485046,619.740601,84.241333,884.876160,711.799866,104.693634,,,,1139.701294,852.522278,379.859619,,,,,,,,,,761.332031,676.407471,101.045052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,835.141968,619.375732,84.240036,884.627991,711.713745,104.284348,,,,1138.929565,852.359680,380.147522,,,,,,,,,,761.378601,676.136658,100.911064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,834.746399,618.996704,84.306480,884.437622,711.395569,103.827530,,,,1137.892822,852.227295,379.836060,,,,,,,,,,761.385986,676.034912,100.774956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,834.413147,618.959473,84.297386,884.241394,711.156738,103.519630,,,,1137.134888,852.144836,379.648834,,,,,,,,,,761.273010,676.006042,100.509361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,833.908508,618.836792,84.117996,884.097656,711.073181,103.427734,,,,1136.653442,852.188965,379.515289,,,,,,,,,,761.268555,676.030518,100.314430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,833.648682,618.924561,84.028275,884.186157,710.810425,103.238281,,,,1136.306396,852.150757,379.461426,,,,,,,,,,761.345764,676.027405,100.052467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,833.501709,618.917847,84.028984,884.094299,710.767090,103.112595,,,,1135.396484,852.264893,379.082245,,,,,,,,,,761.369202,675.919678,99.874893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,833.407410,618.916931,84.070236,884.011963,710.644897,102.968056,,,,1134.646240,852.353821,378.971375,,,,,,,,,,761.387878,675.872620,99.829224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,833.356445,618.937073,84.084724,884.343567,710.566162,103.001572,,,,1133.928101,852.282166,378.949005,,,,,,,,,,761.374268,675.791687,99.759338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,833.290955,618.990601,84.070320,884.139648,710.604919,102.997536,,,,1133.222778,852.286926,378.915161,,,,,,,,,,761.339905,675.671753,99.737228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,833.295349,619.081055,84.164970,883.984741,710.718506,103.053238,,,,1132.568237,852.300903,378.870697,,,,,,,,,,761.382996,675.560059,99.721436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,833.265198,619.156311,84.181023,884.041260,710.674622,103.131607,,,,1131.984497,852.362549,379.093323,,,,,,,,,,761.332214,675.536133,99.689079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,833.234314,619.212769,84.287407,884.026550,710.802551,103.525597,,,,1131.611450,852.478943,378.986572,,,,,,,,,,761.303345,675.434326,99.698151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
