Grasp97
Date:,2025/04/22
Time:,17:34:08
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
45,916.389587,778.873779,96.054039,1074.532715,880.770142,224.437332,,,,1146.891235,871.971680,341.052582,,,,,,,,,,,,,872.044189,688.049866,78.318977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,915.752808,776.517029,97.444672,1074.057007,879.819031,223.985428,,,,1146.526489,871.606018,340.638458,,,,,,,,,,,,,874.597717,684.577332,80.198891,,,,,,,,,,782.463257,764.188049,96.568054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,915.559875,774.307312,98.190475,1073.740356,879.155701,223.608719,,,,1146.331787,871.267822,340.292053,,,,,,,,,,,,,875.946594,680.142151,82.911385,,,,,,,,,,782.131836,761.031006,99.291687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,915.095825,772.159607,99.343277,1072.994629,878.056335,223.348297,,,,1145.991577,870.922791,339.907928,,,,,,,,,,,,,877.352173,675.643677,85.167343,,,,,,,,,,781.876160,758.193420,101.546410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,914.210388,769.787109,100.668770,1072.177368,876.686646,223.129272,,,,1145.706299,870.422546,339.456757,,,,,,,,,,,,,879.367920,673.597717,86.309219,,,,,,,,,,781.789673,755.318604,103.421478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,913.612610,767.816650,101.254311,1071.760132,875.563538,222.775589,,,,1145.247070,869.941772,339.161591,,,,,,,,,,,,,880.516296,671.454834,87.745461,,,,,,,,,,781.568726,752.344666,105.351723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,913.038208,765.522461,102.097786,1071.546143,874.751709,222.280136,,,,1144.500854,869.321960,338.844208,,,,,,,,,,,,,881.685547,668.643066,88.550621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,912.306580,763.154846,103.126060,1071.156616,873.753479,221.785507,,,,1143.652222,868.859070,338.089294,,,,,,,,,,,,,882.408997,665.682922,90.271591,,,,,,,,,,,,,779.968018,747.178894,110.854416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,911.858948,761.377441,103.609627,1070.141968,872.412720,221.458115,,,,1143.152832,868.410889,337.600769,,,,,,,,,,,,,883.963013,662.969910,92.314522,,,,,,,,,,,,,780.386108,744.608704,112.348190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,911.125122,759.161682,104.655014,1069.092651,871.445679,221.019745,,,,1142.853516,867.933044,337.124451,,,,,,,,,,,,,884.677063,660.521179,93.997658,,,,,,,,,,,,,780.492554,741.731750,113.721153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,910.503845,757.253540,105.812538,1068.716553,870.440308,220.627884,,,,1142.414917,867.394104,336.728516,,,,,,,,,,,,,885.862244,658.536377,94.951805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,909.979065,755.291748,106.426651,1068.570435,869.261963,220.093170,,,,1141.521973,866.776672,335.919098,,,,,,,,,,,,,886.564453,656.037354,96.641693,,,,,,,,,,,,,,,,779.904663,736.835754,117.217743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,909.712524,753.599854,107.028702,1068.152222,868.122925,219.656433,,,,1140.687744,866.158569,335.347534,,,,,,,,,,,,,886.626404,654.010498,98.879387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,908.763977,751.525940,108.465027,1067.209106,867.168823,219.462112,,,,1140.085938,865.616577,334.619110,,,,,,,,,,,,,886.538330,652.065125,100.965469,,,,,,,,,,,,,,,,,,,778.823792,732.752869,121.805687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,907.689331,749.692566,109.809364,1066.181763,866.014282,218.961914,,,,1139.687988,865.124023,334.144440,,,,,,,,,,,,,886.451965,650.179260,103.400955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,907.344299,748.004822,109.885216,1065.569824,865.010681,218.490341,,,,1139.349365,864.640808,333.669312,,,,,,,,,,,,,886.826111,648.209473,104.842300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,907.000366,746.241943,110.427826,1065.027344,864.039246,217.687927,,,,1138.776855,864.249146,333.170319,,,,,,,,,,,,,887.284485,646.595154,105.141174,,,,,,,,,,,,,,,,,,,,,,778.401733,726.972168,127.419815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,906.230164,744.334778,111.533371,1064.409424,862.948608,217.367004,,,,1137.972412,863.641724,332.567566,,,,,,,,,,,,,886.528198,644.573730,106.749481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,905.537354,742.678284,112.194923,1063.643799,861.758728,217.315430,,,,1137.247314,862.971741,332.120514,,,,,,,,,,,,,886.104370,643.185425,107.752960,,,,,,,,,,,,,,,,,,,,,,,,,776.802124,723.544006,131.674469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,905.177612,741.424988,112.515656,1062.977051,860.748291,216.929611,,,,1136.659302,862.317078,331.606598,,,,,,,,,,,,,886.306396,641.465271,110.117867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,904.298828,739.850525,112.809685,1062.416138,860.145752,216.350708,,,,1136.238770,861.855103,331.007416,,,,,,,,,,,,,886.311951,639.814026,111.025932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,903.100037,738.500610,114.361977,1062.236328,859.133484,215.377090,,,,1135.906250,861.571899,330.610352,,,,,,,,,,,,,886.113403,638.552917,111.475822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,902.223999,737.188904,115.307014,1061.777222,857.961853,215.002594,,,,1134.817993,861.175842,329.676941,,,,,,,,,,,,,885.634949,637.501526,112.089752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,901.878906,735.625000,115.299644,1061.081299,856.976501,214.728638,,,,1134.392700,860.807922,329.097382,,,,,,,,,,,,,884.714539,635.774780,113.755623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,901.487671,734.157410,115.537056,1060.459961,856.326904,214.173813,,,,1133.901489,860.445862,328.624451,,,,,,,,,,,,,883.904846,634.506104,115.101006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,900.952515,733.124634,115.824272,1059.809692,855.645447,213.775681,,,,1133.224731,859.984253,328.177338,,,,,,,,,,,,,883.403259,633.316162,115.682281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,900.235046,731.939392,116.459000,1059.045898,854.895203,213.221649,,,,1132.749146,859.408264,327.854340,,,,,,,,,,,,,882.296875,632.216858,116.373535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,899.333862,730.560242,117.421173,1058.175537,854.019836,213.119781,,,,1132.164917,858.969971,327.348785,,,,,,,,,,,,,881.061890,630.952881,117.952560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,898.251953,729.550964,118.398697,1057.703003,853.287659,212.649338,,,,1131.410522,858.596863,327.090485,,,,,,,,,,,,,880.056213,629.799072,118.965012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,897.372803,728.541992,118.804070,1057.150635,852.607544,212.357010,,,,1130.796753,858.271790,326.741150,,,,,,,,,,,,,878.705200,628.621582,119.671928,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.391296,710.329285,145.959335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,896.790405,727.633362,118.817299,1056.647339,851.897034,211.715759,,,,1130.202881,857.885620,326.402557,,,,,,,,,,,,,877.875061,627.657227,120.120590,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.293152,709.613953,146.804367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,896.062012,726.620239,119.066360,1056.179810,851.004028,211.399597,,,,1129.583130,857.392273,326.043884,,,,,,,,,,,,,876.465515,626.614502,121.244057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,895.026917,725.815552,119.597519,1055.228516,849.928772,211.309097,,,,1128.941284,856.728210,325.582611,,,,,,,,,,,,,874.905090,625.774658,122.020721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
