Grasp125
Date:,2025/04/23
Time:,16:09:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
61,898.206055,498.226532,75.170174,967.226318,573.416565,105.292046,858.638977,531.918884,79.779572,1169.166748,732.229492,386.286285,,,,,,,1173.482178,757.503845,232.782974,,,,,,,,,,,,,,,,,,,,,,,,
62,899.400879,501.779510,76.475220,970.223755,576.434875,106.177780,861.600281,536.574280,81.902130,1171.037354,732.672913,387.031128,,,,,,,1176.948364,758.503784,233.345795,,,,,,,,,,,,,,,,,,,,,,,,
63,901.025696,505.731445,77.248817,972.810486,579.549255,106.416611,863.645264,541.291077,83.531898,1172.537109,733.266663,387.414764,,,,,,,1180.518188,759.076416,234.491806,,,,,,,,,,,,,,,,,,,,,,,,
64,902.265381,509.897949,78.223160,975.157288,582.441101,107.124031,865.818542,546.872375,85.394897,1174.124023,733.674316,387.816895,,,,,,,1184.679810,759.418274,235.182678,,,,,,,,,,,,,,,,,,,,,,,,
65,903.359497,513.723877,78.965843,976.859436,585.374878,107.882652,867.320007,552.337036,87.396698,1176.032349,733.915344,388.773254,,,,,,,1187.652832,759.812012,235.948608,,,,,,,,,,,,,,,,,,,,,,,,
66,904.170837,518.002502,79.271019,978.876099,588.433105,108.553398,869.190552,558.179993,88.749977,1177.402588,734.362244,389.562408,,,,,,,1191.209595,759.940796,236.916275,,,,,,,,,,,,,,,,,,,,,,,,
67,904.730408,522.419312,79.847275,980.599731,591.645203,108.943298,870.272644,564.511108,90.235336,1178.595703,734.858643,390.266510,,,,,,,1194.544189,760.313232,238.055939,,,,,,,,,,,,,,,,,,,,,,,,
68,905.239624,527.035583,80.140633,981.589783,595.222351,109.650658,871.214905,570.887573,91.951927,1180.162964,735.048950,390.875031,,,,,,,1197.719238,760.378540,238.805679,,,,,,,,,,,,,,,,,,,,,,,,
69,905.385010,531.313904,80.653816,982.526611,598.878845,109.764229,871.477966,577.797791,93.795692,1182.181274,735.046570,391.517151,,,,,,,1200.912231,760.252014,239.946548,,,,,,,,,,,,,,,,,,,,,,,,
70,905.181885,536.039246,81.219299,983.614441,602.321472,110.681351,872.111206,584.728210,94.682495,1183.165405,735.402100,392.052307,,,,,,,1203.956177,760.310059,240.725128,,,,,,,,,,,,,,,,,,,,,,,,
71,904.368347,541.402527,81.852715,984.706970,605.888794,110.811989,872.374329,591.916138,95.789795,1184.229004,735.614746,392.718414,,,,,,,1206.532593,760.078491,241.513260,,,,,,,,,,,,,,,,,,,,,,,,
72,904.010193,546.166504,82.481621,985.112122,609.644592,111.247925,872.112305,599.258545,97.118744,1185.487305,735.843872,393.531158,,,,,,,1209.134033,759.974243,242.128784,,,,,,,,,,,,,,,,,,,,,,,,
73,903.137817,551.655884,83.873055,984.886230,613.369568,112.048836,872.105713,606.822876,97.721947,1187.125366,735.816833,394.353760,,,,,,,1211.655029,759.658020,243.190170,,,,,,,,,,,,,,,,,,,,,,,,
74,901.982117,557.296509,84.187378,984.296875,615.632690,112.524452,871.941589,614.423523,99.016907,1188.005005,736.013550,394.724304,,,,,,,1213.936646,759.250732,243.915863,,,,,,,,,,,,,,,,,,,,,,,,
75,901.255920,562.003113,85.569817,984.294800,620.173218,113.671318,872.103455,622.090759,99.342194,1188.867920,736.215820,395.018097,,,,,,,1216.302612,758.791260,244.153458,,,,,,,,,,,,,,,,,,,,,,,,
76,900.421021,567.281250,86.333282,984.744141,624.215820,114.452560,872.309509,629.871765,99.651344,1189.820557,736.344971,395.313171,,,,,,,1218.168335,758.295410,244.956223,,,,,,,,,,,,,,,,,,,,,,,,
77,899.510193,572.367798,87.597588,985.028809,628.056702,114.679108,871.857910,637.395386,101.269249,1191.063965,736.416565,395.738098,,,,,,,1220.462280,757.881714,245.303604,,,,,,,,,,,,,,,,,,,,,,,,
