Grasp113
Date:,2025/04/23
Time:,10:06:54
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,839.088806,494.120758,82.371414,957.096436,557.836060,108.226433,924.575317,462.284821,78.166954,1138.887573,780.897278,477.386505,,,,1099.372437,790.456482,282.515656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,844.044434,496.498901,85.043205,961.487915,560.697510,109.692421,929.069458,465.148743,80.540596,1139.874878,782.205872,477.588593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,849.432129,499.436249,87.010109,965.798218,563.846191,110.932198,933.070435,468.008636,82.831085,1141.328491,783.518188,477.712219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,855.131348,502.636047,88.628464,970.188904,567.232544,112.254707,937.979919,470.764160,84.721657,1142.639160,784.988342,477.719055,,,,,,,1109.469238,801.521973,281.434906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,860.784729,505.629700,90.308083,974.561829,570.926575,113.088234,942.166077,474.077118,86.423561,1143.563599,786.423279,477.872620,,,,,,,1112.903320,805.206055,281.770416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,865.794922,508.818665,92.444954,979.015686,574.679077,113.934807,946.381042,477.542603,87.995972,1144.725098,788.039795,477.612885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,870.830933,512.220276,94.156357,983.125244,578.364929,114.922089,949.543457,481.671509,89.450539,1145.825195,789.296814,477.555237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,876.013000,516.124023,95.914688,987.345459,582.493225,115.293877,953.237244,485.590973,90.504951,1146.978394,790.554626,477.564301,,,,,,,,,,1124.283813,815.523071,281.273712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,880.788208,520.642273,97.152359,991.372192,586.442627,115.568954,956.579346,489.574799,91.864525,1148.623291,791.992798,477.515381,,,,,,,,,,1128.156372,818.809937,281.221863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,884.975464,525.602600,98.334053,995.274231,590.199585,116.348503,959.341919,493.956390,92.305649,1149.795166,793.303833,477.828674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
