Grasp119
Date:,2025/04/23
Time:,11:17:52
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,910.447021,826.541382,100.761383,,,,865.834351,744.137939,53.912918,1154.835693,916.859436,335.103790,776.257080,815.935303,65.117126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,910.439514,824.647156,101.761871,,,,867.850464,740.634766,55.605190,1155.225586,917.253540,335.182831,776.488220,810.958435,67.784950,1162.887817,881.375549,519.947632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,910.086243,822.637329,103.450943,,,,870.242493,737.393433,57.322727,1155.741821,917.825073,335.379578,776.669067,806.153748,70.171402,1163.065186,881.465210,520.086243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,910.073975,820.629395,105.025116,,,,872.424255,733.956909,59.532665,1156.098999,918.519165,335.609436,777.131897,801.789612,72.497864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,910.201782,818.480408,106.354568,,,,874.295959,730.553223,61.887310,1156.228027,919.116150,335.696106,776.961060,797.590881,74.509537,,,,1163.486572,881.550964,520.707703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,910.296936,816.360779,107.551697,,,,876.402039,727.012329,64.249748,1156.186279,919.733093,335.792938,777.130432,793.686157,76.718239,,,,1163.823364,881.565979,521.064392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,910.336365,814.160156,108.998428,,,,877.923035,723.776672,66.271454,1156.050781,920.165161,335.956085,777.602966,789.600525,78.522118,,,,1163.949097,881.566284,521.173706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,910.073181,811.712280,110.717110,,,,879.056458,720.578369,68.486443,1156.019897,920.550110,336.079559,777.385193,785.520203,80.644325,,,,1164.169434,881.608215,521.356201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,909.800476,809.109619,111.579109,,,,880.382629,717.356323,70.879105,1155.813232,921.103638,336.116974,777.583374,782.045166,82.999550,,,,1164.350830,881.667358,521.520020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,910.054199,806.962585,112.877083,,,,881.417786,714.062561,73.219246,1155.741455,921.588562,336.221832,777.791199,778.419067,84.229782,,,,1164.415405,881.678528,521.446167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
