Grasp10
Date:,2025/04/08
Time:,12:53:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
54,,,,126.837349,898.746887,316.578613,258.883118,575.129272,146.567169,,,,130.447647,887.153748,183.057999,,,,,,,,,,245.606888,714.516724,130.460632,,,,333.132416,676.893433,165.921356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,126.755989,898.539978,316.023560,259.259796,574.742371,140.360168,,,,130.863052,887.110291,182.014633,,,,,,,,,,245.271515,714.650330,127.066811,,,,333.708801,677.393433,161.778320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,126.808990,898.146423,315.627289,259.254242,574.726074,134.974609,,,,131.865662,886.941711,179.600342,,,,,,,,,,245.381470,714.583313,123.722336,,,,333.423615,677.678223,158.242279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,127.078232,897.866028,315.156372,259.354645,574.704712,129.748596,,,,132.634659,886.760498,178.020370,,,,,,,,,,245.349899,714.663879,120.491974,,,,333.360626,677.757751,154.605453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,127.200363,897.549988,314.705719,259.453033,574.712952,124.899094,,,,132.780167,886.467529,177.667313,,,,,,,,,,245.558044,714.658875,117.721123,,,,334.150146,677.671082,150.313736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,127.183380,896.999695,314.143341,260.164764,574.686218,120.237640,,,,132.397156,885.995361,177.869141,,,,,,,,,,245.742523,714.859802,114.607086,,,,334.888885,677.461548,145.609390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,127.236641,896.507141,313.449097,260.301483,575.117004,116.340599,,,,132.371338,885.502136,177.732010,,,,,,,,,,246.157257,714.891663,111.666702,,,,335.788452,677.216675,141.465759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,127.479027,896.118713,313.119110,260.671967,575.435608,112.866440,,,,132.537689,885.077515,177.036896,,,,,,,,,,246.981216,715.156250,109.077141,,,,336.155243,676.621521,138.201904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,127.623779,895.646118,312.640381,261.382751,575.798462,108.783974,,,,132.842865,884.879089,176.133240,,,,,,,,,,247.579590,715.390564,106.563522,,,,337.188995,676.542175,134.123032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,127.748100,895.182251,312.202423,262.517273,576.040039,105.641495,,,,133.071609,884.601379,175.324402,,,,,,,,,,248.210815,715.668701,103.571999,,,,338.617432,676.364807,129.678574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,127.967400,894.729004,311.685150,263.652344,576.374207,102.204468,,,,133.588943,884.313965,174.265976,,,,,,,,,,248.952072,715.894531,101.456924,,,,339.838898,676.068726,124.796867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,128.232864,894.257507,311.081909,264.568848,576.719482,99.538666,,,,134.263138,883.861084,173.089310,,,,,,,,,,249.838989,715.970154,99.147560,,,,341.412811,675.674744,120.473732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,128.383636,893.762817,310.613525,265.592468,576.799133,96.831047,,,,134.958359,883.279907,172.247803,,,,,,,,,,250.873703,716.057800,96.724983,,,,342.688751,675.149597,115.965630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,128.499969,893.343628,310.160400,266.544617,576.896362,94.428040,,,,135.333557,882.758240,171.667114,,,,,,,,,,251.546371,716.275269,95.050102,,,,343.982758,674.288269,111.189262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,128.621002,892.934204,309.593719,267.508972,576.912537,91.936417,,,,135.630798,882.389038,171.182587,,,,,,,,,,252.465714,716.145935,93.121300,,,,345.305359,673.249023,106.559982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,128.646439,892.521851,309.014130,268.651917,577.220032,89.912117,,,,136.072983,882.149963,170.377182,,,,,,,,,,253.368881,716.191345,91.375145,,,,346.116241,672.361572,101.942574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,128.769379,892.217346,308.736481,270.346436,577.319946,87.111794,,,,136.971237,881.862061,169.510818,,,,,,,,,,254.358276,716.068054,89.514282,,,,346.948730,670.695374,97.970673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,128.842880,891.854248,308.431702,271.425598,577.389954,84.881630,,,,137.351135,881.479248,168.653137,,,,,,,,,,255.040878,715.926880,88.120850,,,,347.722595,669.438477,94.094681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,128.990097,891.479919,307.999969,272.787811,577.425720,82.768112,,,,137.893921,881.021851,167.871567,,,,,,,,,,255.654709,715.684937,86.682831,,,,348.266388,667.844604,90.186256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,129.265396,891.119812,307.223022,274.464203,577.513916,80.506264,,,,138.532120,880.586975,167.387756,,,,,,,,,,256.580261,715.260498,85.215790,,,,349.156189,666.665527,86.346962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,129.627533,890.761841,306.337524,276.154694,577.674438,78.347389,,,,138.904160,880.057800,167.033691,,,,,,,,,,257.309814,714.925720,84.178162,,,,349.744141,665.391907,82.864426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,129.870346,890.434998,305.780212,278.056580,578.102356,77.491562,,,,139.601364,879.744995,166.292191,,,,,,,,,,257.891022,714.555115,83.408417,,,,350.140320,663.860046,79.570229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,130.088043,890.088074,305.424408,280.734955,578.194824,75.448700,,,,140.303024,879.546814,165.341003,,,,,,,,,,258.538666,714.100708,82.227226,,,,350.448761,662.745544,76.382744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,130.256454,889.609741,305.008240,283.272308,578.465637,73.452286,,,,140.968597,879.318787,164.920090,,,,,,,,,,259.276978,713.689697,80.974861,,,,350.843536,661.104187,73.761597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,130.485336,889.200928,304.762909,286.127411,579.116272,72.354866,,,,141.562775,878.876526,164.561172,,,,,,,,,,260.009003,713.627625,80.021095,,,,351.064819,659.867493,70.467255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,130.637970,888.718201,304.595551,288.664307,579.986633,70.791626,,,,142.203598,878.208679,164.437775,,,,,,,,,,260.825439,713.214111,79.174881,,,,350.764313,658.370850,68.081451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,130.794937,888.300293,304.333496,289.405121,579.971558,69.823944,,,,142.815781,877.459351,164.005325,,,,,,,,,,261.554108,712.770447,78.165260,,,,350.755493,656.585205,65.156296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
