Grasp125
Date:,2025/04/28
Time:,14:03:07
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
73,826.685181,344.404907,30.150272,906.469482,341.194061,30.744349,929.590454,428.508179,71.163338,988.582703,634.530579,241.279358,1098.209595,722.516052,422.887421,,,,,,,,,,,,,,,,,,,,,
74,826.680847,344.436707,30.133738,906.380249,341.494324,30.861811,928.948853,428.564697,72.407936,988.488281,635.840332,241.460648,1099.175781,722.872803,423.082977,,,,,,,,,,,,,,,,,,,,,
75,826.734009,344.425171,30.172575,906.187012,341.807587,31.099354,928.065674,428.650757,74.604637,988.508301,636.946960,241.640503,1100.190063,723.092896,423.223419,,,,,,,,,,,,,,,,,,,,,
76,826.797729,344.404541,30.243933,905.986938,342.292358,31.382952,927.375000,429.113403,75.823479,988.325073,638.150024,242.535461,1100.803223,723.468445,423.488739,,,,,,,,,,,,,,,,,,,,,
77,826.885437,344.387451,30.286772,905.831604,342.799377,31.660244,926.824097,429.649078,76.604797,988.033813,639.837341,242.959076,1101.386841,723.928589,423.755951,,,,,,,,,,,,,,,,,,,,,
78,827.039490,344.489471,30.360405,905.673035,343.391724,31.713966,925.842468,430.125763,78.596222,988.061279,641.040833,243.150116,1102.004639,724.418030,423.940582,,,,,,,,,,,,,,,,,,,,,
79,827.316284,344.464020,30.569221,905.412659,344.038239,31.919273,924.990479,430.724915,80.174400,988.085144,642.692993,243.099258,1102.326050,725.060547,424.191010,,,,,,,,,,,,,,,,,,,,,
80,827.708984,344.457764,30.729572,904.976379,344.936981,32.273132,924.028198,431.114105,81.379280,988.593994,644.386780,243.227356,1103.364990,725.626038,424.037628,,,,,,,,,,,,,,,,,,,,,
81,828.153198,344.602692,30.786095,904.491028,345.814941,32.438553,922.674683,431.640778,83.540894,988.905762,645.887390,243.771805,1104.412964,726.185730,423.754730,,,,,,,,,,,,,,,,,,,,,
82,828.679688,344.758850,30.903070,904.107361,346.665588,33.043972,921.560852,432.191498,85.390381,988.884399,647.732361,244.407150,1105.027222,726.481079,424.094391,,,,,,,,,,,,,,,,,,,,,
83,829.272400,344.979034,31.025684,903.540100,347.403687,33.836285,920.750854,432.635376,87.423325,988.449097,649.333374,245.152664,1104.257690,727.423401,425.147705,,,,,,,,,,,,,,,,,,,,,
84,829.814819,345.433777,31.474794,902.725342,348.600464,34.043201,919.785889,433.843903,88.901649,988.220764,651.302734,245.461304,1104.262207,728.256958,425.991669,,,,,,,,,,,,,,,,,,,,,
85,829.926392,346.347626,32.630863,901.872498,349.983582,34.423454,918.513000,435.166046,90.741585,988.735840,652.911377,245.712051,1104.971313,728.991333,426.316895,,,,,,,,,,,,,,,,,,,,,
86,829.900818,347.065643,33.779934,900.792847,351.232849,35.217052,917.306335,436.108765,92.864441,989.523254,654.909851,245.688034,1105.899414,729.557068,426.246094,,,,,,,,,,,,,,,,,,,,,
87,829.796448,347.706543,35.069546,899.662109,352.429901,36.099556,916.203125,436.922852,94.746170,989.652222,656.212952,246.320663,1106.962524,729.960693,426.367126,,,,,,,,,,,,,,,,,,,,,
88,829.258240,348.461426,37.402920,898.683472,354.032562,37.082970,915.218079,437.959167,96.352547,989.650024,658.232788,247.165878,1107.831177,730.218445,426.796387,,,,,,,,,,,,,,,,,,,,,
89,828.003235,349.428131,39.750256,897.818848,355.477722,38.427509,914.231140,439.209198,98.401901,989.598694,659.961365,247.544388,1108.627930,730.420227,427.318085,,,,,,,,,,,,,,,,,,,,,
90,826.830078,350.869873,41.893795,896.546509,356.971954,39.817486,913.064026,440.507568,100.213348,989.778748,662.024597,248.204605,1109.489868,730.896912,427.566040,,,,,,,,,,,,,,,,,,,,,
91,825.210083,352.790283,44.184250,895.464294,358.489227,40.834686,912.135620,441.926056,101.911377,990.204712,663.694336,248.373306,1111.025635,731.286621,428.181458,,,,,,,,,,,,,,,,,,,,,
92,823.502747,354.288788,46.337097,894.051697,360.204010,42.619247,911.201965,443.206451,104.184853,990.236938,665.754517,248.879456,1112.371948,731.790161,428.390991,,,,,,,,,,,,,,,,,,,,,
93,821.561401,356.603149,48.883476,892.649658,361.700714,44.145470,909.886902,445.019196,106.329437,990.570374,667.460083,249.723938,1113.011475,732.405029,428.776154,,,,,,,,,,,,,,,,,,,,,
94,819.268677,358.656616,50.821602,890.985657,363.823090,45.571186,908.581299,446.694855,107.757805,991.040466,669.404785,250.133423,1113.606567,732.799255,429.463287,,,,,,,,,,,,,,,,,,,,,
95,817.357666,361.288574,53.123997,889.221497,365.601532,47.584244,907.396851,448.604095,109.576881,991.419800,671.177429,250.814575,1113.563232,733.282593,430.100311,,,,,,,,,,,,,,,,,,,,,
96,815.103516,363.608276,55.280365,887.112854,367.596893,49.304565,905.884399,450.391357,111.746246,991.769714,673.410400,251.043411,1113.382324,734.093201,430.849976,,,,,,,,,,,,,,,,,,,,,
97,812.956055,366.592072,57.161015,885.223633,369.811737,51.353222,904.469482,452.238983,113.795898,991.958557,675.313660,252.034058,1113.719238,734.919678,431.642548,,,,,,,,,,,,,,,,,,,,,
