Grasp124
Date:,2025/04/23
Time:,14:06:30
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
33,871.560608,445.588379,94.153786,913.083252,535.151001,132.013611,786.218872,481.883514,127.575043,1010.878479,786.071289,260.886230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,870.873779,445.752686,98.815186,912.707825,536.000244,135.753128,786.068604,481.626740,133.203491,1011.800598,787.744934,261.770294,,,,,,,,,,,,,,,,,,,1089.804077,825.060730,408.803284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,869.903870,446.093140,103.628876,911.987183,537.082458,138.973770,785.877686,481.653564,138.958954,1012.585815,789.308472,261.997162,,,,,,,,,,,,,,,,,,,1090.815918,825.498108,409.414917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,868.956970,447.109985,109.122375,911.323730,538.433960,143.117142,785.585205,481.924927,144.923126,1013.078125,790.985840,262.162354,,,,,,,,,,,,,,,,,,,1091.589233,825.845337,409.501617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,867.854980,447.630310,113.800247,910.240112,539.466431,147.448792,784.860046,482.302246,151.648788,1013.892395,792.233582,262.422760,,,,,,,,,,,,,,,,,,,1092.707764,826.448669,409.294373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,867.174988,448.135315,118.833633,909.697754,540.359802,151.653244,784.432251,483.045380,158.071991,1014.516907,794.293396,262.843323,,,,,,,,,,,,,,,,,,,1093.661865,827.097595,409.165192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,866.447998,449.247559,123.439583,908.701172,541.583679,155.454117,783.985535,483.821808,164.135422,1015.097229,795.735840,263.370850,,,,,,,,,,,,,,,,,,,1094.440674,827.706299,409.366180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,865.221252,449.977783,128.461655,907.695618,543.102783,159.885529,783.694946,484.703888,170.384903,1015.731812,797.406128,263.918304,,,,,,,,,,,,,,,,,,,1095.036621,828.267944,409.725220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,863.939087,451.162689,133.307678,907.086670,544.513977,163.869232,783.300903,485.854919,176.807373,1016.847534,798.951660,264.177032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,863.146606,452.401276,138.114304,906.215881,546.231934,167.510529,782.819214,487.160767,182.859589,1017.641541,800.773254,264.572296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
