Grasp123
Date:,2025/04/24
Time:,14:48:14
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
57,951.938049,608.058716,186.192276,,,,1127.012207,706.038696,290.923706,862.544067,555.649780,208.110306,1151.541382,713.205017,469.208313,843.846008,655.656860,249.089890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,951.947266,610.198059,185.094391,,,,1127.893311,706.764771,290.951569,861.530884,559.203735,206.276382,1152.179321,713.196655,469.390930,843.479736,660.034729,246.924759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,951.747620,612.757202,184.112900,,,,1128.472900,707.139648,290.669922,860.365540,562.648376,203.695358,1152.723389,713.248596,469.433533,843.097534,664.449280,244.825302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,951.295349,615.528992,182.044067,,,,1128.762695,707.589783,290.416809,859.493713,566.023987,201.061890,1153.090820,713.244385,469.309845,842.192261,668.736023,241.981903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,950.993591,617.855408,180.853821,,,,1129.317749,707.802795,290.013641,858.196350,569.267578,198.405579,1153.605469,713.310242,469.101440,841.409729,672.565308,239.150116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,949.901123,619.810913,179.674103,,,,1129.515503,708.232178,289.710480,857.194885,572.028625,195.255463,1154.382690,713.307922,469.002899,840.503174,676.352783,236.164978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,948.957764,622.432312,177.742111,,,,1129.252808,708.850098,289.339417,855.336121,574.872559,192.203171,1154.777100,713.412781,468.669769,839.583191,680.007080,233.004745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,948.815063,624.224976,176.499451,,,,1129.141357,709.556396,289.087769,854.271667,577.409180,188.974136,1155.094360,713.485474,468.374481,838.717773,683.441162,229.455231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,947.753906,626.563171,174.462845,,,,1128.821533,710.591248,288.573578,853.341614,579.548462,185.474304,1154.896729,713.654175,467.942139,837.588623,686.818481,225.949493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,946.998474,628.503540,172.479218,,,,1128.607300,711.305298,288.285736,852.229309,581.746948,182.007584,1155.069214,713.821350,467.921143,836.432312,689.910339,222.565338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
