Grasp117
Date:,2025/04/26
Time:,15:57:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
54,1108.762939,744.760864,309.985718,1138.494629,812.690308,170.278427,804.429504,748.773804,123.551308,871.356018,647.556885,109.365196,,,,933.966858,726.679016,105.016975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1107.894531,744.215942,309.300049,1137.166138,811.843323,169.401703,803.040344,747.155334,123.628563,869.852112,645.796875,109.774063,,,,932.066528,724.918030,106.244118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1106.433960,743.721619,308.692993,1135.202026,811.002380,168.551743,801.152527,745.388611,124.359535,868.116150,643.894348,111.393700,,,,930.419128,723.516785,106.267975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1105.276123,743.260559,308.399933,1132.917480,810.229065,167.977020,799.316528,743.762207,124.366699,866.513245,642.422119,111.662285,,,,928.992126,721.959290,106.013947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1103.936646,742.991638,308.115326,1131.236450,809.734375,167.287018,798.141968,742.522339,124.059448,865.479919,640.881714,111.732407,,,,928.003113,720.557068,105.028351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1102.396606,742.664185,307.550934,1130.003906,809.270996,166.068176,796.525635,740.708191,124.355652,864.256775,639.758118,112.090981,,,,926.475037,718.983887,104.974464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1101.405273,742.296997,307.081635,1128.476440,808.391968,165.174866,794.982300,739.673584,124.172585,862.745789,637.901001,112.882156,,,,924.686279,717.653625,105.124260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1100.583740,742.131470,306.533691,1126.323120,807.604309,164.566238,793.291565,738.326721,123.970718,861.567810,636.428955,112.986366,,,,923.108887,716.638062,105.466949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1099.685913,741.838684,306.150726,1124.506104,806.923401,164.337250,791.810974,736.741394,123.621964,860.514893,635.236633,112.477104,,,,921.304626,715.115051,105.797440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1098.480103,741.462952,305.526154,1122.818848,806.483765,163.477737,791.004822,735.836060,123.351364,858.851990,633.711975,112.701668,,,,920.118347,713.926880,105.577576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
