Grasp126
Date:,2025/04/23
Time:,11:18:29
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,743.926331,489.368622,143.471054,857.032349,538.088135,205.086060,822.307068,461.272888,141.912048,1106.642822,831.357300,511.796265,1067.486328,824.090088,317.548767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,744.093262,490.293640,148.176010,856.654114,540.043213,209.850479,822.222229,462.849182,146.543594,1107.946167,831.912292,512.359558,1069.211548,826.318237,318.425049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,744.304504,491.408203,152.821533,856.144043,541.952515,214.724396,821.853638,464.687988,150.805466,1109.157715,832.364075,513.369080,1070.309204,828.702759,318.901947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,744.328918,492.647278,157.428680,855.602844,543.922729,219.302887,821.605103,466.701324,154.816223,1110.623047,832.863098,514.292847,1071.951416,831.052551,320.164886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,744.060547,494.397430,161.799606,855.312256,546.067566,223.380875,821.597290,468.832825,158.768066,1111.826050,833.389526,514.886169,1073.303101,833.108032,320.934814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,743.566101,496.504364,165.830841,854.852478,548.274048,227.491684,821.403442,471.254364,162.707321,1113.223877,833.858276,515.691711,1074.572876,835.504456,321.675690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,743.031860,498.648499,169.905426,854.229675,550.432495,231.836456,821.354919,473.537354,166.274261,1114.389771,834.300049,516.191589,1076.020752,837.600342,322.196228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,742.294739,501.091858,173.137451,853.608948,552.808228,235.610657,820.888977,475.971924,169.267654,1115.697021,834.714417,516.682922,1077.674561,839.769836,322.943512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,741.488037,504.033356,176.168381,853.178955,554.960510,238.958206,820.930237,478.607239,172.400787,1117.202026,835.202515,517.736694,1078.980835,841.934387,323.655701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,740.440735,506.869263,179.789703,852.868713,557.325195,241.981918,820.949463,481.016998,175.019150,1118.373047,835.673523,518.459656,1080.545410,843.819397,324.863342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,739.365479,510.004089,182.870010,852.432556,559.754211,244.905365,820.932007,483.990173,176.938721,1119.499146,836.165466,519.052490,1082.079590,845.883850,325.651367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,738.325378,513.300598,185.288315,851.713745,562.235046,248.131500,820.950928,487.128052,179.280960,1120.736206,836.626587,519.825684,1083.081177,847.631836,326.613037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,737.336670,516.770935,187.550140,850.732666,564.741333,250.968811,820.918152,489.889465,180.921204,1121.547119,837.021912,520.425354,1084.433716,849.545898,327.761230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,736.130249,520.164429,189.444824,850.004517,567.203613,253.437820,820.876709,492.743317,182.738937,1122.442871,837.460571,521.150696,1085.387085,851.294983,328.724243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,735.058655,523.563232,191.122559,848.991028,569.785095,255.225220,820.835449,496.077240,183.947540,1123.483276,838.023926,521.921570,1086.567261,853.078552,329.618317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,733.651367,527.099854,192.945984,848.078430,572.439453,257.542999,821.190552,499.478851,185.322739,1124.473999,838.403198,522.800476,1087.857666,854.774719,330.663361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,732.456787,530.700012,193.859879,847.357727,575.159790,259.309387,821.572754,502.735687,185.725952,1124.995117,838.821350,523.410828,1088.726074,856.347168,331.527527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,731.543091,534.411194,194.964706,846.577881,577.714233,261.061066,821.645752,506.321320,186.503784,1125.592163,839.319153,523.967285,1089.603149,858.050964,332.291901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,730.477783,538.166321,195.108612,845.675842,580.431641,262.662262,821.830017,509.660950,186.753235,1126.476563,839.653687,524.615906,1090.751343,859.595032,333.333893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,729.635925,541.809875,195.066238,844.807251,582.987915,263.941040,822.203003,513.070251,186.546783,1127.473511,839.894409,525.534790,1091.613892,860.881165,334.122589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,728.613464,545.611023,195.612289,843.946289,585.611511,264.499207,822.338074,516.877686,186.637314,1128.241089,840.356384,525.967896,1092.468384,862.412842,334.962769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,727.382996,549.168518,196.177750,842.982788,588.330139,265.542206,822.635254,520.376831,186.517975,1129.091309,840.777222,526.992981,1093.485107,863.657593,336.061493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,726.440308,552.546265,195.854782,841.867798,590.828430,266.462280,823.223633,524.003906,185.877838,1129.466309,841.128418,527.411499,1094.163086,864.908569,336.974915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,725.550537,556.300659,194.993774,840.857239,593.292847,266.857849,823.315857,527.587036,185.117065,1129.950195,841.478333,527.902344,1094.878662,866.237854,337.757538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,724.630249,560.079468,195.237656,840.091675,595.955566,267.167908,823.592468,531.297791,184.631699,1130.535889,841.790161,528.418030,1095.656738,867.444092,338.402191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,723.726257,563.897156,194.065781,839.189392,598.267212,267.456299,823.931091,534.820435,183.810715,1131.148315,842.063721,528.939636,1096.405884,868.694885,339.193848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,723.250488,567.703430,192.386200,838.547119,600.647522,267.623810,824.383850,538.438660,182.965469,1131.539185,842.406433,529.501953,1096.692383,869.855164,339.865448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,722.845703,571.335754,190.880264,837.394714,602.959045,267.501526,824.850952,541.933533,181.991272,1132.223999,842.645447,529.910889,1096.848389,870.925232,340.367920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,722.297058,574.630676,190.229706,836.595215,605.028198,267.034882,825.697388,545.368713,180.688171,1132.635254,842.858032,530.158752,1097.397949,872.009827,341.017456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,721.610413,578.203491,188.848724,836.025513,607.237000,266.463135,826.611877,548.839539,179.316635,1132.846558,843.163879,530.476135,1097.773926,873.360596,341.697052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,721.579529,581.589478,186.704803,835.116028,609.258118,266.310883,827.255676,552.165039,177.852142,1133.291504,843.417664,531.192627,1097.810547,874.268982,342.227295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,721.506165,584.825806,184.701935,834.479370,611.277100,265.712646,827.807556,555.690063,176.137009,1133.764404,843.644409,531.726990,1097.963135,875.199951,343.150726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,721.380371,587.811401,182.823563,833.874756,613.166443,264.698517,829.049133,559.260010,174.676254,1134.031616,843.802246,532.117554,1098.142822,876.323669,343.882965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,721.534363,590.389221,181.155151,833.466187,615.267578,264.010895,830.150757,562.405151,173.188705,1134.154663,843.999023,532.378479,1098.287476,877.250061,344.477631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,721.830444,593.219666,178.398209,833.042969,616.929382,263.025421,831.358459,565.570129,171.534012,1134.372192,844.206238,532.719666,1098.128052,878.014465,345.069427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,722.170532,595.796936,175.943665,832.731201,618.878296,261.687958,832.288147,569.336853,169.514633,1134.525879,844.452820,532.865845,1098.093262,878.997986,345.237213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,722.733093,597.909241,174.065887,832.464539,620.325500,260.875061,833.356750,571.947388,167.770996,1134.667114,844.655029,533.126587,1098.148193,879.969666,345.699066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,723.429382,600.044006,170.905762,831.883118,622.006531,259.686523,834.439636,574.289490,165.807556,1134.718018,844.814270,533.274109,1098.127563,880.871948,346.221802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,724.232483,602.177063,168.100296,831.465149,623.433594,258.369110,835.567871,576.966431,163.788391,1134.767822,844.881042,533.389587,1098.112549,881.413940,346.935608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,724.700562,603.922974,166.543396,831.333069,624.799622,257.347443,836.405640,579.566284,162.028748,1134.801758,845.032532,533.603455,1097.673462,882.264038,347.515503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,725.447693,605.589539,163.719070,831.114319,626.338623,255.850555,837.184143,582.147644,160.131577,1134.727783,845.167664,533.747253,1097.450439,883.288208,348.071106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,726.109802,607.324158,160.671402,830.857239,627.486084,254.138611,837.609680,584.465820,158.248352,1134.687988,845.294250,533.876770,1097.137939,884.134949,348.487061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,726.647400,608.904907,158.719849,830.732788,628.807678,252.765671,838.514343,586.937012,156.426300,1134.609497,845.395447,534.062622,1096.790527,884.755066,348.750092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
