Grasp126
Date:,2025/05/06
Time:,14:07:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
102,738.978943,581.176147,174.471970,871.860046,615.401733,201.677444,807.799194,546.309326,151.628372,,,,,,,1131.162598,788.975525,434.651703,,,,,,,,,,,,,,,,,,,,,,1058.411133,814.655151,259.359131
103,737.806091,584.197754,172.694824,870.733643,617.431152,200.987335,806.548889,548.770752,150.104279,,,,,,,1131.193970,789.220032,434.973938,,,,,,,,,,,,,,,,,,,,,,1058.377197,815.556580,259.736267
104,736.583984,587.104309,171.232513,869.547668,619.386536,200.465622,805.507446,551.564880,148.642456,,,,,,,1131.217529,789.389832,435.164124,,,,,,,,,,,,,,,,,,,,,,1058.442261,816.334290,260.079437
105,735.626099,590.023743,169.615570,868.811340,621.324463,199.847443,804.510986,553.829407,147.280518,,,,,,,1131.236206,789.557800,435.422028,,,,,,,,,,,,,,,,,,,,,,1058.684937,817.451477,260.218567
106,734.844666,592.958923,167.863098,867.753540,623.182007,199.224670,803.458496,556.275269,145.956894,,,,,,,1131.189819,789.731750,435.569031,,,,,,,,,,,,,,,,,,,,,,1058.630249,818.029907,260.275818
107,734.106262,595.620422,166.112427,867.019836,625.095032,198.653152,802.791382,558.629456,144.782883,,,,,,,1131.182373,789.875427,435.710663,,,,,,,,,,,,,,,,,,,,,,1058.867676,818.589905,260.535583
108,733.385010,598.094360,164.496368,866.539063,626.725403,197.986176,801.845520,560.940552,143.486511,,,,,,,1131.199951,790.045044,435.858063,,,,,,,,,,,,,,,,,,,,,,1059.252563,819.184509,260.756165
109,732.332703,600.502380,163.590149,865.557129,628.710388,197.013229,801.518921,563.392456,142.412964,,,,,,,1131.158691,790.153503,435.942627,,,,,,,,,,,,,,,,,,,,,,1059.530762,819.724243,261.331390
110,731.763062,603.000549,162.234085,864.865112,630.338562,196.094543,800.641174,565.431274,140.703659,,,,,,,1131.147461,790.264038,436.072937,,,,,,,,,,,,,,,,,,,,,,1059.792358,820.212952,261.646149
111,730.772034,605.125977,161.513611,864.437927,631.886169,195.240341,800.093933,567.695801,139.474625,,,,,,,1131.096924,790.402161,436.162720,,,,,,,,,,,,,,,,,,,,,,1060.213013,820.722290,261.631256
