Grasp125
Date:,2025/04/23
Time:,14:06:36
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,904.889404,502.985077,125.008339,866.193542,420.923645,75.371719,782.783936,481.883575,65.900589,,,,1017.120850,759.439819,255.391251,1090.377563,815.130310,395.508270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,904.664246,503.460052,129.268372,866.024658,419.831512,80.149551,782.082336,479.626312,70.458023,,,,1017.374817,760.851135,255.479065,1090.343140,815.520020,395.383514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,903.561218,503.347839,133.737122,865.797852,418.871918,85.171745,780.976440,477.116882,75.548592,,,,1017.573364,761.774597,255.523834,1091.146606,815.870728,395.554504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,902.585876,503.465240,138.497940,865.796631,418.128601,90.235680,780.324036,474.913513,80.855415,,,,1017.900452,762.995117,255.503830,1091.979248,816.507996,395.451538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,901.460754,503.707428,143.095764,865.996704,417.420349,95.518242,779.911377,472.654114,86.125725,,,,1018.605896,764.525879,255.287674,1092.861328,817.284912,395.268616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,900.762939,504.668976,146.784714,866.210449,416.813324,100.971779,779.114929,470.326965,91.769287,,,,1019.127808,765.627991,255.129562,1093.530029,817.853699,395.156097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,900.383667,505.503418,151.427048,866.334839,416.369019,106.707115,778.473328,468.153900,97.997208,,,,1019.473145,766.945801,255.260986,1093.955444,818.430664,395.283539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,899.450500,506.335663,155.996414,866.259155,416.104187,112.580040,777.596252,466.102844,104.614342,,,,1019.639160,768.418579,255.326843,1094.314209,818.866455,395.444672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,898.347717,507.409149,160.839081,865.974365,415.955750,118.547165,776.884949,464.356628,111.039490,,,,1020.172668,770.145081,255.211807,1094.752930,819.323181,395.525879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,897.580139,508.660492,165.947388,865.674438,416.009308,124.460449,776.219727,462.925903,117.621384,,,,1020.834717,771.783936,255.580765,1095.199097,820.105957,395.567841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
