Grasp126
Date:,2025/04/23
Time:,16:09:25
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
51,813.770935,482.461700,29.026917,873.051636,553.198608,66.681572,741.376099,526.955994,29.832523,1129.288940,721.706482,374.445465,,,,1098.676758,721.369263,220.364410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,814.140137,482.566528,28.993343,873.471069,553.309021,66.608124,741.894836,526.802673,29.826988,1129.382935,721.785461,374.561371,,,,1098.560303,721.738098,220.738495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,814.678955,482.632294,29.049171,874.073364,553.413696,66.539772,742.654358,526.651855,29.822515,1129.366821,721.836243,374.664276,,,,1098.672607,722.022156,220.953232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,815.253967,482.706909,29.078552,874.781433,553.691406,66.925034,743.291321,526.585144,29.477591,1129.468750,721.881531,374.800934,,,,1098.922729,722.550293,221.024048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,816.131165,482.816376,28.990009,875.468994,553.843323,67.657097,744.085693,526.210632,29.818008,1129.554688,722.025757,374.993958,,,,1099.287231,723.146240,221.056473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,817.129700,482.953827,28.582537,876.361450,553.767944,68.107689,744.868225,525.935730,29.935625,1129.620605,722.181396,375.061462,,,,1099.446777,723.899048,221.196793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,818.005615,483.318451,28.728849,877.289978,553.896179,68.409378,746.031616,525.620361,30.047117,1129.684692,722.330261,375.101166,,,,1100.028442,724.813538,221.364288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,818.864258,483.588257,29.066624,877.996399,554.077881,68.690796,747.448303,525.290039,30.297733,1129.895264,722.447876,375.293762,,,,1100.619141,725.576965,221.578522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,819.999573,483.771179,29.327299,879.063354,554.327637,69.177933,748.871704,525.071960,30.424635,1129.923950,722.681580,375.130615,,,,1101.397949,726.196655,221.762161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,821.569946,484.039764,29.153631,880.747803,554.679016,70.075752,750.673645,524.417664,30.322962,1130.080688,722.846497,375.215698,,,,1102.085205,727.098877,222.030273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,823.172607,484.585876,29.539513,882.133179,554.811035,70.774765,753.179871,523.454285,30.774168,1130.456055,722.989929,375.585419,,,,1103.819092,728.061462,222.096710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,824.550659,484.979919,29.894342,883.737671,554.832031,71.937073,755.369080,522.791382,31.032625,1130.669800,723.160217,375.752899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,826.492676,485.202728,29.999662,885.381165,554.903992,73.282028,758.262024,521.789978,31.481552,1131.093506,723.383423,375.918732,,,,,,,1107.085205,729.952881,221.557831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,828.582153,485.547821,29.945515,887.519470,555.146118,74.893631,761.179382,521.030457,32.551678,1131.428223,723.603638,376.083099,,,,,,,1107.680664,731.854065,222.053314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,830.874390,485.873840,30.223028,889.876343,555.441711,75.925850,764.565002,520.030823,34.105293,1131.784058,723.805847,376.195190,,,,,,,1108.493286,733.235291,222.553116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,833.504700,485.977417,30.630518,892.540466,555.795593,76.899529,767.651062,519.030701,36.422279,1132.131226,724.167725,376.433533,,,,,,,1109.790894,734.611267,223.071136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,836.496704,486.101563,31.177084,895.559326,556.371887,77.663727,770.826721,517.841736,39.158875,1132.841797,724.404724,376.855072,,,,,,,1111.293213,736.210571,223.427887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,839.382813,485.932495,31.775429,898.953613,556.617493,78.761894,774.732605,516.417175,42.044682,1133.455811,724.610535,377.075806,,,,,,,1113.148315,737.554688,223.419464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
