PTP357
Date:,2025/04/23
Time:,12:53:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
112,582.039124,476.761505,152.563217,,,,,,,,,,,,,,,,,,,,,
113,579.307068,476.088074,152.168350,,,,,,,,,,,,,,,,,,,,,
114,576.818054,475.724304,151.689346,,,,,,,,,,,,,,,,,,,,,
115,574.401489,474.828735,150.921707,,,,,,,,,,,,,,,,,,,,,
116,572.079041,474.134521,150.026855,,,,,,,,,,,,,,,,,,,,,
117,569.758606,473.575043,149.427582,,,,,,,,,,,,,,,,,,,,,
118,567.387512,472.968414,147.789902,,,,,,,,,,,,,,,,,,,,,
119,565.260986,472.579529,147.487122,,,,,,,,,,,,,,,,,,,,,
120,562.961731,471.728210,147.180557,,,,,,,,,,,,,,,,,,,,,
121,560.826233,471.358582,145.927917,,,,,,,,,,,,,,,,,,,,,
122,558.711609,470.984741,145.478409,,,,,,,,,,,,,,,,,,,,,
123,557.063232,470.562927,144.451553,,,,,,,,,,,,,,,,,,,,,
124,555.225708,470.068298,143.518097,,,,,,,,,,,,,,,,,,,,,
125,553.070496,469.360657,142.881042,,,,,,,,,,,,,,,,,,,,,
126,551.436584,468.881958,142.525894,,,,,,,,,,,,,,,,,,,,,
127,549.637146,468.595245,141.631180,,,,,,,,,,,,,,,,,,,,,
128,548.037476,468.458679,140.495255,,,,,,,,,,,,,,,,,,,,,
129,546.466187,468.197418,139.923050,,,,,,,,,,,,,,,,,,,,,
130,545.026428,467.712677,139.354721,,,,,,,,,,,,,,,,,,,,,
131,543.410034,467.171356,138.626968,,,,,,,,,,,,,,,,,,,,,
132,541.938965,466.695862,137.514618,,,,,,,,,,,,,,,,,,,,,
133,540.764343,466.589325,137.107254,,,,,,,,,,,,,,,,,,,,,
134,539.392822,466.249573,136.073837,,,,,,,,,,,,,,,,,,,,,
135,538.181152,465.938477,135.414719,,,,,,,,,,,,,,,,,,,,,
136,536.862061,465.657104,134.590118,,,,,,,,,,,,,,,,,,,,,
137,535.961121,465.106079,134.099213,,,,,,,,,,,,,,,,,,,,,
138,534.804871,464.671356,133.377594,,,,,,,,,,,,,,,,,,,,,
139,533.600830,464.435272,132.318344,,,,,,,,,,,,,,,,,,,,,
140,532.376404,464.085815,131.646255,,,,,,,,,,,,,,,,,,,,,
141,531.582642,463.805084,131.046600,,,,,,,,,,,,,,,,,,,,,
142,531.030457,463.624786,130.301453,,,,,,,,,,,,,,,,,,,,,
143,530.165833,463.305176,129.420700,,,,,,,,,,,,,,,,,,,,,
144,529.293640,462.985046,128.859268,,,,,,,,,,,,,,,,,,,,,
145,528.365417,462.969025,127.828552,2310.896729,301.030029,-134.241150,,,,,,,,,,,,,,,,,,
146,527.650452,462.653900,126.930656,,,,,,,,,,,,,,,,,,,,,
147,526.955994,462.314484,126.424629,,,,,,,,,,,,,,,,,,,,,
148,526.233643,461.975250,125.846916,,,,,,,,,,,,,,,,,,,,,
149,525.658447,461.695587,125.556816,,,,,,,,,,,,,,,,,,,,,
150,525.138794,461.397522,125.202667,,,,,,,,,,,,,,,,,,,,,
151,524.677307,461.117493,124.513313,,,,,,,,,,,,,,,,,,,,,
152,524.133057,460.882111,123.857147,,,,2310.949951,300.955048,-134.312683,,,,,,,,,,,,,,,
153,523.485229,460.894409,122.541046,,,,,,,,,,,,,,,,,,,,,
154,523.036560,460.760315,121.893150,,,,,,,,,,,,,,,,,,,,,
155,522.516174,460.364868,121.692245,,,,,,,2310.782715,301.366974,-134.387833,,,,,,,,,,,,
156,521.915649,460.161163,121.698242,,,,,,,,,,,,,,,,,,,,,
157,521.666321,459.821381,121.091278,,,,,,,,,,,,,,,,,,,,,
158,521.372498,459.452850,120.477554,,,,,,,,,,,,,,,,,,,,,
159,520.952271,459.042206,119.787743,,,,,,,,,,,,,,,,,,,,,
160,520.718933,458.860809,119.324997,,,,,,,,,,,,,,,,,,,,,
161,520.511108,458.697845,118.899841,,,,,,,,,,,,,,,,,,,,,
162,520.330750,458.468781,117.971771,,,,,,,,,,,,,,,,,,,,,
163,520.317261,458.290039,117.038101,,,,,,,,,,,,,,,,,,,,,
164,520.177551,458.122406,116.344048,,,,,,,,,,,,,,,,,,,,,
165,519.830750,457.823029,115.620224,,,,,,,,,,,,,,,,,,,,,
166,519.588318,457.735535,115.257462,,,,,,,,,,,,,,,,,,,,,
167,519.362976,457.658234,115.045128,,,,,,,,,,,,,,,,,,,,,
168,519.327515,457.427765,114.510544,,,,,,,,,,,,,,,,,,,,,
169,519.470398,457.167480,113.388687,,,,,,,,,,,,,,,,,,,,,
170,519.492249,457.029297,112.388718,,,,,,,,,,,,,,,,,,,,,
171,519.494507,457.010284,111.023705,,,,,,,,,,,,,,,,,,,,,
172,519.302917,456.865143,110.462997,,,,,,,,,,,,,,,,,,,,,
173,519.239380,456.837372,109.970467,,,,,,,,,,,,,,,,,,,,,
174,519.208008,456.795715,109.432556,,,,,,,,,,,,,,,,,,,,,
175,519.255615,456.606506,108.627632,,,,,,,,,,,,,,,,,,,,,
176,519.532898,456.218475,107.423904,,,,,,,,,,,,,,,,,,,,,
177,519.897278,455.577118,106.594978,,,,,,,,,,,,,,,,,,,,,
178,520.165222,454.920990,106.138802,,,,,,,,,,,,,,,,,,,,,
179,520.368286,454.310669,105.692177,,,,,,,,,,,,,,,,,,,,,
180,520.626343,453.894592,105.256500,,,,,,,,,,,,,,,,,,,,,
181,520.741577,453.714935,104.151253,,,,,,,,,,,,,,,,,,,,,
182,520.866394,453.347961,103.376846,,,,,,,,,,,,,,,,,,,,,
183,520.899780,452.973206,102.933342,,,,,,,,,,,,,,,,,,,,,
184,520.876770,452.755646,102.731171,,,,,,,,,,,,,,,,,,,,,
185,520.430420,452.526031,102.928291,,,,,,,,,,,,,,,,,,,,,
186,520.490479,452.445648,102.413879,,,,,,,,,,,,,,,,,,,,,
187,520.517395,452.405670,102.084946,,,,,,,,,,,,,,,,,,,,,
188,520.454590,452.387726,101.845657,,,,,,,,,,,,,,,,,,,,,
189,520.450439,452.379181,101.572029,,,,,,,,,,,,,,,,,,,,,
190,520.419373,452.322174,101.505600,,,,,,,,,,,,,,,,,,,,,
191,520.391785,452.199585,101.132164,,,,,,,,,,,,,,,,,,,,,
192,520.432312,452.160950,100.908691,,,,,,,,,,,,,,,,,,,,,
193,520.554504,452.181549,100.552681,,,,,,,,,,,,,,,,,,,,,
