Grasp20
Date:,2025/04/08
Time:,13:08:47
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
58,298.021484,617.082397,233.252319,,,,61.421524,880.311646,188.905930,66.166443,902.723755,364.310852,359.624878,693.225952,202.515518,,,,,,,,,,,,,,,,,,,,,,,,
59,293.650299,615.052429,227.996933,,,,60.369984,882.251465,189.518707,65.640335,903.803040,364.514526,355.988037,691.662415,200.034088,,,,,,,,,,,,,,,,263.888336,741.580261,185.912354,,,,,,
60,289.688873,613.071899,222.881760,,,,58.874378,883.965393,189.871048,65.147102,904.960999,364.759521,352.732697,690.019165,197.430847,,,,,,,,,,,,,,,,260.944702,741.006714,184.131042,,,,,,
61,285.603424,611.211853,217.500809,,,,57.663757,885.377808,189.975494,64.682991,905.907715,365.052368,349.430481,688.578003,195.389053,,,,,,,,,,,,,,,,,,,,,,,,
62,281.714203,609.350403,212.183212,,,,57.230751,886.869690,189.894073,63.980251,906.839844,365.512787,346.653625,687.248779,192.767456,,,,,,,,,,,,,,,,,,,,,,,,
63,278.215485,607.621826,206.783752,,,,56.599422,888.290649,189.512756,63.434422,907.678284,365.507172,344.129272,686.315247,190.815536,,,,,,,,,,,,,,,,,,,254.044769,739.243164,178.026978,,,
64,274.789459,606.039124,201.641464,,,,55.922951,889.336670,188.850006,63.141125,908.430298,365.610718,342.157043,685.677063,187.970551,,,,,,,,,,,,,,,,,,,,,,,,
65,271.661346,604.648132,196.082520,,,,55.466541,890.582153,188.297516,62.705421,909.206604,365.621460,340.075287,684.787476,184.453476,,,,,,,,,,,,,,,,,,,,,,,,
66,269.128906,603.395020,191.259583,,,,55.415302,891.546204,187.812164,62.268505,909.974976,365.614960,338.276428,684.227905,181.812515,,,,,,,,,,,,,,,,,,,,,,248.314850,737.513977,171.312317
67,267.084991,602.273499,186.072952,,,,55.171894,892.335388,187.753220,62.031811,910.564819,365.380768,336.745148,684.138000,179.233261,,,,,,,,,,,,,,,,,,,,,,246.583694,736.974060,169.629822
68,265.077637,601.471741,181.209427,,,,54.848824,893.212646,187.845291,61.677422,911.182617,365.311707,335.784424,683.979187,176.196411,,,,,,,,,,,,,,,,,,,,,,245.258041,736.540649,167.292404
69,263.289978,600.678833,177.560867,,,,54.512154,894.033325,187.478958,61.488949,911.729187,364.828430,334.714264,683.666443,173.056992,,,,,,,,,,,,,,,,,,,,,,244.298279,736.123291,164.253967
70,262.102417,599.947205,173.402267,,,,54.423302,894.517456,186.998825,61.208225,912.164917,364.507202,334.072083,683.691345,170.076218,,,,,,,,,,,,,,,,,,,,,,243.702774,735.764404,161.464050
71,261.065216,599.509216,169.634262,,,,54.338139,894.965088,186.313187,61.101955,912.539185,364.334930,333.619934,683.647522,166.845886,,,,,,,,,,,,,,,,,,,,,,242.775085,735.258850,159.646942
72,260.272278,599.135193,166.251770,,,,54.234829,895.083740,186.050369,60.854240,912.916687,364.139465,333.078369,683.619995,164.903900,,,,,,,,,,,,,,,,,,,,,,242.082657,734.716370,158.082367
73,259.650238,598.529724,163.561646,,,,54.234299,895.195740,185.797745,60.757732,913.200073,363.865387,332.340302,683.711121,162.198853,,,,,,,,,,,,,,,,,,,,,,241.600433,734.308838,155.497345
74,259.037323,598.021790,160.402771,,,,54.299221,895.213867,185.510696,60.618008,913.396790,363.623016,332.178802,683.730408,159.316971,,,,,,,,,,,,,,,,,,,,,,241.310379,734.103638,153.687897
75,258.908020,597.848999,158.485260,,,,54.503052,895.151855,185.179245,60.542526,913.603027,363.281677,332.154358,684.125671,156.399323,,,,,,,,,,,,,,,,,,,,,,240.731628,733.893066,151.917053
76,258.525635,597.605103,156.449738,,,,54.684082,895.091797,184.707245,60.573902,913.813721,362.739258,332.377502,684.069763,153.965164,,,,,,,,,,,,,,,,,,,,,,240.913315,733.648254,149.326172
77,258.677704,597.590454,154.358734,,,,54.943501,894.863647,184.306030,60.714745,913.913818,362.167206,332.403870,684.226624,151.357849,,,,,,,,,,,,,,,,,,,,,,240.973068,733.427307,147.187836
78,259.218811,597.475708,152.964035,,,,55.009209,894.468567,183.451019,60.845360,913.983337,361.213623,332.711151,684.102356,148.459854,,,,,,,,,,,,,,,,,,,,,,241.046829,733.200867,145.892960
79,259.494537,597.347534,151.921646,,,,55.707485,894.101074,182.322952,61.015636,914.035156,360.795258,333.047974,684.207825,145.888641,,,,,,,,,,,,,,,,,,,,,,241.556259,732.966797,143.282410
80,260.130829,597.254150,150.477997,,,,56.376560,893.575317,181.433960,61.043056,914.085754,360.491974,333.701630,684.157410,143.517639,,,,,,,,,,,,,,,,,,,,,,241.845047,732.754395,141.413956
81,260.873169,597.173889,149.292099,,,,56.938320,892.932922,180.809357,61.059464,914.039429,360.127563,334.327484,684.410278,141.349197,,,,,,,,,,,,,,,,,,,,,,242.595566,732.617981,139.777237
82,261.545105,597.013000,148.445663,,,,57.392139,892.402466,180.403687,61.152679,913.909912,359.675751,335.284912,684.494629,139.299469,,,,,,,,,,,,,,,,,,,,,,243.060287,732.372620,138.219986
83,262.420258,597.012634,147.485535,,,,57.749172,891.555115,180.616760,61.330227,913.796021,359.205963,335.524200,684.535828,137.418427,,,,,,,,,,,,,,,,,,,,,,243.228210,731.931824,136.683151
84,263.207916,596.794495,146.636230,,,,58.043865,890.602905,180.442017,61.604130,913.674744,358.679260,336.067139,684.314148,134.596375,,,,,,,,,,,,,,,,,,,,,,243.753052,731.699829,135.250504
85,264.126953,596.620300,145.520477,,,,58.786728,889.752808,179.842346,61.828854,913.450195,358.122559,336.785370,684.241577,132.617142,,,,,,,,,,,,,,,,,,,,,,244.442001,731.411499,133.897369
86,265.175110,596.398438,144.440735,,,,59.758656,889.276123,179.160004,61.988396,913.240112,357.700592,337.697937,684.331604,131.179062,,,,,,,,,,,,,,,,,,,,,,245.082199,731.055908,132.283600
87,266.169647,595.941040,143.353561,,,,60.464443,888.531677,178.084091,62.177910,913.039246,357.283203,338.546692,684.061646,129.708115,,,,,,,,,,,,,,,,,,,,,,245.423950,730.307312,131.313110
88,267.140076,595.434937,142.590591,,,,61.020523,887.713013,177.289017,62.423111,912.681580,356.900024,339.236237,683.466919,127.584602,,,,,,,,,,,,,,,,,,,,,,246.238297,729.525208,129.940735
89,268.297394,594.780212,141.668945,,,,61.877686,886.938232,176.574829,62.614910,912.294250,356.484314,339.933685,682.985352,125.458656,,,,,,,,,,,,,,,,,,,,,,246.843918,728.854248,129.045731
90,269.268066,594.107422,140.707245,,,,62.821281,886.400208,176.403854,63.005554,911.922302,355.913025,340.358459,682.501343,124.444649,,,,,,,,,,,,,,,,,,,,,,247.077057,728.395325,128.468109
91,270.181885,593.438049,139.349899,,,,63.604816,885.390381,176.833313,63.292603,911.516602,355.480042,341.161011,681.800110,123.152008,,,,,,,,,,,,,,,,,,,,,,248.033478,727.888977,126.991463
92,271.143036,592.863464,138.456589,,,,64.215942,884.388794,176.878555,63.589710,911.047485,355.271301,342.065399,680.844055,121.487411,,,,,,,,,,,,,,,,,,,,,,248.893753,727.061096,125.589073
93,271.937927,592.362915,137.490753,,,,64.822975,883.707886,175.976196,64.123116,910.630066,354.934357,342.289886,679.889954,120.030823,,,,,,,,,,,,,,,,,,,,,,249.528366,726.059814,125.035362
94,272.629547,591.431458,136.253647,,,,65.807404,883.052612,175.064880,64.533859,910.153687,354.460602,342.846710,679.040283,118.801773,,,,,,,,,,,,,,,,,,,,,,249.991470,725.089844,124.255508
95,273.083405,590.534424,135.163742,,,,66.795372,882.003479,174.589310,64.839188,909.544861,354.204071,343.741211,678.050110,117.382683,,,,,,,,,,,,,,,,,,,,,,250.201706,724.325806,123.852707
96,273.514709,589.499084,134.418076,,,,67.606659,881.031311,174.322418,65.192726,909.136719,353.994934,344.073608,676.868835,116.657112,,,,,,,,,,,,,,,,,,,,,,250.911850,723.500122,122.962830
97,274.047760,588.906738,133.198257,,,,68.299988,880.391968,173.980316,65.462585,908.581299,353.822388,344.176300,675.605530,115.502274,,,,,,,,,,,,,,,,,,,,,,251.596603,722.702454,122.193207
98,274.266815,588.082092,132.247284,,,,68.759254,879.504944,173.710968,65.777840,907.982971,353.650970,344.672058,674.065491,114.025276,,,,,,,,,,,,,,,,,,,,,,252.304001,721.903870,121.548363
