Grasp03
Date:,2025/04/08
Time:,12:52:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
79,306.318451,547.838501,103.007538,263.063171,671.505127,108.138611,171.106689,865.799866,301.621857,,,,,,,,,,,,,,,,164.319016,857.497559,167.925385,,,,,,,,,,,,,,,,,,
80,306.114990,545.130676,105.199799,263.396271,668.987183,109.544914,171.705521,864.566711,301.582977,,,,,,,,,,,,,,,,164.817261,855.855042,167.575531,,,,,,,,,,,,,,,,,,
81,306.175964,542.321411,106.875664,263.843658,666.273743,111.020493,172.224503,863.371277,301.554077,,,,,,,,,,,,,,,,165.188095,854.108154,167.266693,,,,,,,,,,,,,,,,,,
82,306.278870,539.231628,108.786552,264.132416,663.434265,112.250885,172.563995,862.093628,301.440094,,,,,,,,,,,,,,,,166.058624,851.902771,167.646149,,,,,,,,,,,,,,,,,,
83,306.064453,536.390564,110.915764,264.323914,660.616089,113.661568,172.930618,860.811218,301.288452,,,,,,,,,,,,,,,,166.857788,850.008728,167.793991,,,,,,,,,,,,,,,,,,
84,305.994537,533.302551,112.663307,264.558136,657.716125,115.019142,173.171448,859.447021,301.278748,,,,,,,,,,,,,,,,167.146942,847.634155,167.980606,,,,,,,,,,,,,,,,,,
85,305.765442,529.716248,114.958611,264.679779,654.475220,116.210800,173.526611,857.877869,301.379517,,,,,,,,,,,,,,,,167.661041,845.064026,167.555344,,,,,,,,,,,,,,,,,,
86,305.428619,526.569397,117.009140,265.115326,651.286316,117.112785,174.272659,856.516113,301.078827,,,,,,,,,,,,,,,,168.502365,842.528015,167.745224,,,,,,,,,,,,,,,,,,
87,305.109131,523.022278,118.895546,265.306519,648.071106,118.455376,174.929184,855.005615,300.935944,,,,,,,,,,,,,,,,169.529724,839.955322,167.929779,,,,,,,,,,,,,,,,,,
88,304.931122,519.459717,120.610214,265.062225,644.595947,119.638893,175.479080,853.609741,300.729279,,,,,,,,,,,,,,,,169.985229,837.141968,167.957611,,,,,,,,,,,,,,,,,,
89,304.439423,515.321594,122.100052,265.274170,640.894836,120.630539,175.881729,851.925720,301.035889,,,,,,,,,,,,,,,,170.583374,834.466614,167.970444,,,,,,,,,,,,,,,,,,
90,304.015076,511.790070,123.853424,265.551727,637.174194,121.682434,175.975891,850.350220,301.445709,,,,,,,,,,,,,,,,171.148987,831.285278,168.036118,,,,,,,,,,,,,,,,,,
91,303.304260,507.737183,125.245422,265.590118,633.320862,122.732880,176.345306,848.639221,301.633392,,,,,,,,,,,,,,,,172.113556,828.265564,168.091278,355.902252,582.117310,127.964615,,,,,,,,,,,,,,,
92,302.938538,503.624634,127.004219,265.984711,629.459412,123.539490,176.926544,847.140320,301.300934,,,,,,,,,,,,,,,,172.751984,825.119141,168.326523,355.263641,577.776001,128.991135,,,,,,,,,,,,,,,
93,302.314392,499.405975,128.331161,266.202423,625.442688,124.502075,177.646164,845.541931,301.093414,,,,,,,,,,,,,,,,173.165848,821.608704,168.252533,355.043945,573.093994,130.537018,,,,,,,,,,,,,,,
94,301.560150,495.086029,129.688599,266.252411,621.437134,125.400536,178.236679,843.775513,301.061829,,,,,,,,,,,,,,,,173.978958,818.324646,168.675507,354.765717,568.670837,132.374237,,,,,,,,,,,,,,,
95,300.979431,490.654053,130.681107,266.234863,617.284302,126.129417,178.369629,841.857056,301.551849,,,,,,,,,,,,,,,,174.435501,814.914490,169.209030,354.724640,563.953064,133.345871,,,,,,,,,,,,,,,
96,300.386444,486.343170,131.636658,266.519165,613.084412,126.932007,178.590530,839.974976,301.975159,,,,,,,,,,,,,,,,174.612869,811.229553,169.413086,354.551727,559.206116,133.733353,,,,,,,,,,,,,,,
97,299.787231,482.025360,132.319809,266.700684,608.854919,127.877098,179.014191,838.230286,302.245972,,,,,,,,,,,,,,,,175.756851,807.560486,169.951218,354.536804,554.417480,134.613068,,,,,,,,,,,,,,,
98,299.191071,477.171722,132.881271,266.878845,604.499390,128.656647,179.667145,836.257019,302.361237,,,,,,,,,,,,,,,,176.299805,804.079407,170.073532,354.468445,549.398987,135.540970,,,,,,,,,,,,,,,
