Grasp115
Date:,2025/04/23
Time:,10:07:05
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
61,915.500549,526.716370,93.681351,795.382324,475.052032,46.353783,1134.383301,766.004578,470.742737,882.128357,445.178986,40.061127,1082.906128,748.977661,280.752655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,916.964722,527.310425,96.625755,796.195007,475.257111,50.755249,1134.766724,766.597778,470.566528,883.232666,445.029907,43.177517,1084.468262,751.051392,280.168793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,918.565735,528.221008,98.969246,796.995789,475.910614,56.098637,1135.508545,767.387390,470.439941,884.522339,444.932281,46.422077,1086.337280,753.319580,279.382751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,920.169495,529.132507,101.043076,797.963013,476.315399,61.288670,1136.311646,768.100159,470.132111,885.465149,444.984528,50.399761,1088.086304,755.665955,278.737701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,922.121399,530.295776,103.718063,799.688049,477.079865,65.422234,1136.699707,768.851868,470.165131,886.462769,445.429504,54.219151,1090.660400,758.022644,277.736389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,924.228577,531.207153,106.401878,801.649780,477.605560,70.750603,1136.732666,769.730103,470.436310,887.690063,445.151276,58.491467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,926.235535,532.287476,109.462128,803.320984,477.795135,76.154297,1136.972534,770.781677,470.585999,889.354492,444.942932,62.947800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,928.637573,533.626648,112.059441,805.446777,478.756531,81.080627,1137.899414,771.946472,470.082062,890.878479,445.105774,67.576332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,931.393860,534.596252,114.969070,807.784302,479.559296,86.772659,1138.804810,773.152649,469.897614,892.726990,445.930328,72.061493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,933.861206,535.877991,118.328270,810.505798,480.499847,91.750481,1139.695190,774.109314,469.738800,895.201355,447.130554,76.663742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,936.569092,537.484619,121.423294,813.063843,481.190674,97.409042,1140.496216,775.185425,469.252594,897.120239,448.767914,80.547363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,939.905212,538.911682,124.827370,816.115234,482.496490,102.885735,1141.442383,776.534912,468.744995,899.030884,450.133667,84.613983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,942.387207,540.615051,127.755630,818.893982,483.651947,108.754906,1142.242676,777.715454,468.438843,900.540771,451.773407,89.459709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,945.474609,542.623840,131.141998,821.955444,484.870300,114.871964,1142.943848,778.922058,468.319427,902.666443,453.048401,94.144737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,947.831238,544.434509,134.972946,824.934082,486.351746,120.757996,1144.111328,780.145691,467.971008,904.910400,454.585724,99.722931,,,,1116.680054,786.036987,272.287384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,950.578247,546.473145,137.959152,828.271179,488.112091,126.624443,1145.140991,781.228638,467.720612,906.855652,456.159973,104.676735,,,,1119.661987,788.853882,272.320221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,954.023254,548.646667,140.750000,831.372314,490.135681,132.440872,1145.816284,782.477844,467.659943,908.737488,458.064301,108.963440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,956.653076,550.965454,144.852814,834.255615,492.339752,138.679672,1147.126587,783.814148,467.643250,910.904175,460.052704,113.640068,,,,,,,1125.411377,794.405640,272.505371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,959.098694,553.492126,148.095398,837.278076,494.635284,145.213303,1148.200562,784.944763,467.740356,913.011414,462.391937,118.329750,,,,,,,1128.849976,797.317749,272.122620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,962.113342,556.203369,150.491791,840.317993,497.664734,150.398148,1149.081299,786.114136,467.887848,914.964172,464.723389,123.096283,,,,,,,1132.167847,800.003662,271.962006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,964.543396,558.787048,154.093750,843.181885,500.976929,156.112335,1150.620483,787.288330,467.794891,916.223389,467.331696,127.218979,,,,,,,1135.783081,802.564514,272.308899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,966.974182,561.710815,157.066376,845.676819,504.383850,161.956314,1151.657104,788.464050,467.778687,917.938843,470.365112,131.437393,,,,,,,1138.768677,805.223328,272.843231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,969.488831,564.425110,159.767242,848.310913,508.192383,167.150894,1152.381348,789.566528,468.011658,919.277466,474.407227,135.182709,,,,,,,1141.786865,807.489136,273.438629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,972.204895,567.649536,162.246078,850.810974,512.620605,172.608002,1153.651489,790.797119,468.024475,920.660889,477.577759,139.280151,,,,,,,1144.975098,809.810120,274.161682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,973.969299,571.125610,164.261841,853.009583,517.174561,177.906403,1154.888306,791.931580,468.155945,921.806274,480.765686,143.600494,,,,,,,1147.644897,812.250488,274.548340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,975.977295,574.487671,166.956635,854.826172,521.800903,183.039001,1155.984253,793.052429,468.487091,922.519348,484.037750,147.741211,,,,,,,1151.384888,814.642029,274.832306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,978.241150,577.571533,169.646942,856.891846,526.767883,187.872345,1157.241333,794.174866,468.667969,923.008667,487.704468,151.875137,,,,,,,1154.642212,816.575989,275.468353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,979.930237,580.910339,171.472427,858.451355,532.380188,192.447998,1158.062866,795.336609,468.752563,923.487793,491.583069,155.598251,,,,,,,1157.466064,818.675842,276.414459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,981.586243,584.711914,173.354431,860.063538,538.098450,197.410355,1158.794556,796.377136,468.934509,924.138184,495.577362,159.159256,,,,,,,1160.140991,820.857788,277.241333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,983.061584,589.288513,174.692734,861.252869,543.894043,202.030212,1160.250977,797.449463,469.314667,924.302551,499.983826,162.281708,,,,,,,1163.391479,822.426392,277.682190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,984.123169,592.592834,176.659973,862.822388,550.283875,206.316589,1161.593506,798.390930,469.610443,924.259460,504.371796,165.563736,,,,,,,1166.650757,824.353333,278.488831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,985.370605,595.646851,178.063507,864.747864,556.839050,209.674362,1162.274048,799.343079,470.047974,924.251587,509.067719,168.202316,,,,,,,1169.322632,826.037231,279.119415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,986.640625,599.534241,179.279175,865.557373,563.489075,213.597214,1163.091309,800.333313,470.280884,923.724792,513.823242,170.651596,,,,,,,1171.982422,827.723389,280.002563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,987.574036,603.559570,180.130646,866.353333,570.155762,217.327438,1164.033447,801.278931,470.393890,923.724487,518.395996,173.021286,,,,,,,1174.598389,829.315063,280.790344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,987.762024,607.616760,181.037125,867.213623,577.130249,220.139435,1164.856323,802.091675,470.940491,923.036621,523.489624,175.129288,,,,,,,1178.208740,830.491821,281.242584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,988.831238,611.499451,181.337631,867.858337,584.587463,222.491089,1165.666992,802.887939,471.509125,922.342712,528.287109,176.758865,,,,,,,1181.100098,831.937744,281.741760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,988.867554,615.625122,181.809341,868.333801,591.996521,224.874252,1167.135010,803.890686,471.389648,921.513245,533.444214,178.508987,,,,,,,1183.387695,833.146301,282.458374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,988.942688,619.711182,182.392807,868.440247,599.557800,226.453354,1167.822144,804.933289,471.257751,920.599304,538.749390,179.608185,,,,,,,1185.870239,834.304626,283.230011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,988.854797,623.422363,182.768936,868.307556,606.868774,227.614227,1168.614258,805.587341,471.382355,919.515625,543.842468,180.479263,,,,,,,1187.985718,835.564148,283.843506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,988.769653,627.705505,182.275818,868.220459,614.254395,228.163010,1169.234253,806.270386,471.720947,918.331116,549.067810,181.371368,,,,,,,1190.207764,836.663574,284.524933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,988.545349,632.117126,182.203751,868.018250,621.582764,228.024704,1170.255249,806.972229,471.933289,917.645142,554.302795,181.818466,,,,,,,1192.986206,837.062500,284.721466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,987.619446,636.199951,182.533768,867.224731,628.979675,227.668701,1171.224609,807.983826,472.201569,916.015747,559.383972,181.797073,,,,,,,1194.847900,838.082458,285.175415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,987.162109,640.133057,181.629089,866.422974,636.452271,226.911484,1171.777466,808.504456,472.512939,914.715515,564.284851,182.135574,,,,,,,1196.509766,839.055969,285.988251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
