Grasp19
Date:,2025/04/15
Time:,13:18:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,840.349365,466.561127,32.459278,1076.617310,788.098328,394.984772,930.498535,448.819946,31.842587,955.638000,542.014038,65.154877,,,,,,,1075.066895,793.003113,225.355911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,840.374756,466.637451,32.438499,1076.655029,788.170776,394.904846,930.507263,448.763824,31.877693,955.594849,541.946350,64.991196,,,,,,,1075.197388,793.027954,225.292664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,840.345825,466.726074,32.646912,1076.713379,788.273560,394.838776,930.508850,448.742096,31.890760,955.692139,541.959778,64.894524,,,,,,,1075.328369,793.049377,225.215759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,840.377563,466.678558,32.510136,1076.791748,788.322449,394.743103,930.483337,448.796417,31.828224,955.606079,542.046143,65.175056,,,,,,,1075.454102,793.074341,225.074280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,840.380371,466.654327,32.460197,1076.769043,788.413208,394.651184,930.480103,448.827881,31.799551,955.572632,542.044617,65.232819,,,,,,,1075.598389,793.185364,224.910309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,840.484680,466.651123,32.375038,1076.671631,788.448975,394.628906,930.537048,448.855621,31.809786,955.581970,542.033203,65.241432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,840.630859,466.642975,32.163448,1076.848267,788.614014,394.445068,930.497009,448.831024,31.803093,955.586304,542.126892,65.220840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,840.786377,466.782166,32.262939,1077.134399,788.675842,394.193024,930.503967,448.857483,31.828297,955.336487,542.188293,65.346428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,840.550842,466.925110,32.489716,1077.249756,788.810059,394.017120,930.498047,448.973755,31.823301,955.020386,542.193298,65.614128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,840.656555,466.799164,32.251778,1077.248901,789.004089,394.169495,930.402771,449.068695,31.855091,954.944397,542.187744,65.685005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
