Grasp120
Date:,2025/04/26
Time:,15:57:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
62,788.692139,740.006531,119.351936,1100.007813,746.264709,301.877594,1127.878784,810.118835,159.352142,860.937805,638.945496,113.787315,918.455078,721.998535,105.881119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,787.612061,739.025208,118.874336,1099.333984,746.131348,301.771088,1126.424194,809.868835,159.023163,859.729736,638.267822,113.643524,917.438293,721.055603,105.940201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,786.551636,737.871948,118.338394,1098.700195,746.039795,301.537964,1125.381348,809.502747,159.073059,858.295776,637.317932,113.349823,916.836548,720.185730,105.753288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,785.873657,737.073914,118.034401,1097.727051,745.992554,301.420532,1124.209473,809.005676,158.758499,857.372986,636.581116,112.793953,916.080994,719.295227,105.236458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,784.809509,736.244690,117.419449,1096.735474,745.951355,301.499115,1122.887207,808.619263,157.914764,856.316956,636.046875,112.705566,914.874268,718.524841,105.136696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,783.716187,735.324707,116.730164,1095.755615,745.967529,301.044403,1121.677490,808.354919,157.325470,854.926270,635.042969,112.654503,913.747070,717.847656,105.007462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,782.529114,734.298767,116.653831,1094.965332,745.728149,301.185059,1120.918091,808.096802,157.130447,853.623047,634.407898,112.628258,913.072571,717.319153,104.781898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,781.710449,733.310303,116.940300,1094.406494,745.535828,301.031433,1120.091431,807.781677,156.774094,852.940369,633.564087,111.950859,912.571045,716.426575,104.519585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,780.821167,732.487183,116.631721,1093.962036,745.337646,300.663544,1118.657227,807.494934,156.768280,852.186218,632.691650,111.798203,911.716370,715.551636,104.593132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,779.869873,731.676208,116.156281,1093.466187,745.328796,300.026031,1117.360229,807.389587,156.220566,851.049561,631.927307,111.480553,910.299377,715.027893,105.089424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,778.929626,730.812805,116.113747,1092.624146,745.216553,299.752289,1116.503174,807.403442,156.160324,849.868408,631.155273,111.140900,909.373779,714.608337,105.168907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,778.501099,729.940674,115.821709,1091.652588,745.065247,299.881226,1115.836548,807.382629,156.025314,849.035583,630.392151,110.594803,908.497009,714.043762,105.153633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,778.074402,728.995422,115.566010,1090.830566,744.922119,299.886261,1114.961792,807.264771,155.515533,848.058167,629.866211,110.290161,907.587646,713.325073,104.925789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,777.273254,728.091980,115.370628,1090.091309,744.863342,299.697968,1113.823120,807.169861,154.682983,847.002319,629.314087,110.051834,906.604675,712.503662,104.831169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,776.532471,727.173523,115.645134,1089.335327,744.868530,299.603668,1112.879272,806.984314,154.620087,846.032898,628.773560,109.538277,905.897644,711.710999,104.648979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,775.584961,725.883484,115.992157,1088.630859,744.765808,299.433594,1112.054443,806.741211,154.902634,845.033203,628.158386,109.234039,905.559448,711.302673,104.399719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,774.882935,724.812683,115.840981,1088.102295,744.627136,299.159546,1111.081665,806.715027,155.114029,844.231445,627.620789,109.167862,904.968628,711.167114,104.195282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,774.363586,723.780151,115.551971,1087.756104,744.553833,298.907227,1110.030029,806.538879,154.569824,843.350891,626.932800,108.569496,904.694214,710.464355,103.725487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,773.650574,723.067383,115.399826,1087.255737,744.333862,298.835480,1109.165161,806.263062,154.170792,842.501099,626.545593,107.927994,904.281494,709.676819,103.539406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,772.955322,722.102417,115.347809,1086.594849,744.180969,299.215973,1108.317627,806.070557,153.844879,841.905762,626.078125,106.905510,903.259705,709.207153,103.595917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,772.462708,720.923584,115.108925,1085.567261,744.231567,298.936432,1107.594849,805.959351,153.551697,841.592407,625.507507,106.147469,902.417297,708.562500,103.688225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,772.284241,720.164368,114.982643,1084.832275,744.190552,298.887238,1107.221558,805.712402,153.584305,841.124329,624.916748,105.559669,902.010010,708.146912,103.605927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,771.788269,719.455627,114.860329,1083.929443,744.145508,298.935699,1106.392090,805.623962,153.920181,840.510925,624.412720,105.130150,901.812073,707.799561,103.485588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,771.254761,718.327637,114.921188,1083.294312,744.028625,298.783203,1105.250977,805.556702,154.018127,839.793762,624.016296,104.668686,901.483398,707.537048,103.348351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,770.550476,717.039917,114.665222,1082.670532,743.932800,298.453125,1104.341064,805.483826,153.794830,839.212097,623.764282,103.853058,901.158386,706.932068,102.671219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,770.212280,716.282532,114.414169,1082.160645,743.860229,298.248444,1103.663818,805.463745,153.507095,838.376831,623.454285,103.528229,900.425720,706.462891,102.476364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,769.723450,715.664734,114.475563,1081.662476,743.696289,298.146271,1102.936279,805.365173,153.241867,837.118103,623.105164,103.689171,899.768616,706.131897,102.457390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,769.093811,714.514648,114.806313,1080.995728,743.715515,298.181580,1102.337769,805.327271,153.144714,835.711731,622.862732,103.524956,898.843933,705.761963,102.855240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,768.958069,713.299133,114.568336,1080.255249,743.690735,298.229431,1101.922607,805.338074,153.184906,834.918640,622.737976,102.627602,898.196838,705.562256,103.073555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,768.974915,712.295837,114.302917,1079.462036,743.749084,298.454132,1101.408447,805.272339,153.387527,834.807861,622.633179,101.595818,897.707092,705.148499,102.946281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,768.767822,711.735901,114.254555,1078.716309,743.835815,298.540344,1100.566528,805.321350,153.556976,834.234680,622.553833,100.617157,897.439270,704.731995,102.723450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,768.446106,711.017578,114.238792,1077.791382,743.860229,298.385315,1099.836914,805.290222,153.508102,833.449463,622.539246,99.541061,897.086060,704.487122,102.527321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,768.069824,710.030090,114.295860,1077.123657,743.842407,298.154419,1099.151001,805.346252,153.284760,832.288513,622.646545,99.096390,896.734741,704.231567,102.672935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,767.959961,709.087341,114.297241,1076.799805,743.816467,297.744049,1098.508423,805.422546,152.812210,830.979858,622.560242,98.551865,896.352905,704.119202,102.860504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,767.881226,708.174194,113.672211,1076.414551,743.777649,297.621796,1097.972900,805.438354,152.635712,829.889954,622.583984,98.016212,896.058472,704.056824,102.646858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,767.957703,707.502075,113.433998,1075.900146,743.731384,297.509094,1097.630859,805.390320,152.690063,829.034363,622.898743,97.387794,895.670410,703.614807,103.116272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,767.760071,706.576782,113.462616,1075.365234,743.744751,297.447418,1097.216919,805.416931,152.625122,828.252502,623.062012,96.449760,895.288086,703.330566,103.415321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,767.626892,705.717896,113.541977,1074.548340,743.847839,297.709320,1096.874390,805.399414,152.576035,827.145630,623.333008,95.757858,894.979065,703.143860,103.531853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,767.243225,705.053284,113.520622,1073.812744,743.992859,297.849304,1096.560913,805.448975,152.687668,826.146118,623.545227,95.509178,894.640686,703.088074,103.478439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,767.094360,704.402161,113.133171,1073.096802,744.013062,297.691437,1096.102417,805.557251,152.811844,825.552246,623.618469,95.463860,894.103760,703.250977,103.516434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,766.748779,703.889221,112.882988,1072.307251,744.071106,297.801025,1095.543701,805.494507,153.270248,825.162720,623.698792,95.530312,893.988770,703.247986,103.465904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,766.637207,703.290771,112.647972,1071.797852,743.977234,297.716003,1095.158936,805.617737,153.348969,824.979614,623.630554,95.695526,893.798645,703.235107,103.389267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,766.236938,702.339722,112.077225,1071.508179,743.827332,297.949860,1094.564941,805.715637,153.199356,824.971924,623.379822,95.883858,893.493286,703.269897,103.298119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,766.282715,700.875061,111.601418,1071.181763,743.915405,297.436523,1094.154663,805.836548,153.165680,825.027466,623.068359,95.926430,893.022705,703.353088,103.308563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,766.434082,699.614624,111.529701,1070.712646,743.980408,297.266663,1093.778442,805.975403,153.190643,824.873291,622.826599,95.865952,892.530334,703.330566,103.449661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,766.266968,698.021423,112.037178,1070.106812,744.016113,297.335419,1093.384399,806.107239,153.181305,824.639832,622.697815,95.822067,891.917908,703.284180,103.836746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,1069.478516,744.116455,297.586151,1093.115479,806.227478,153.205490,824.473633,622.552307,95.586075,891.060425,703.174988,104.723083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
