Grasp107
Date:,2025/04/23
Time:,10:06:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
56,1214.834351,882.789063,479.330933,810.881104,793.284485,82.413803,948.331177,796.906311,107.167595,1204.878540,915.612122,275.846649,898.063416,715.107727,71.286453,,,,,,,,,,,,,,,
57,1214.464844,882.610046,479.296906,809.948120,790.068176,84.595596,947.355896,794.539368,108.171074,1203.822144,915.004700,275.832733,897.806335,711.208252,74.094208,,,,,,,,,,,,,,,
58,1214.121948,882.413574,479.231567,808.657288,787.047668,86.303604,946.348938,792.209534,109.077377,1202.720581,914.416321,275.475159,897.696899,707.967834,75.604813,,,,,,,,,,,,,,,
59,1213.747925,882.133057,479.058380,807.452881,784.050354,88.547821,945.510742,789.999146,110.010681,1201.808472,913.914368,275.278687,897.480286,704.976807,77.253357,,,,,,,,,,,,,,,
60,1213.257202,881.800110,478.956085,805.765381,781.310364,90.543915,944.162964,787.517822,110.971230,1200.206909,913.505920,275.155182,897.634033,702.030151,78.372292,,,,,,,,,,,,,,,
61,1212.560181,881.357239,478.786987,804.731689,778.448059,92.328995,942.908875,785.194885,111.897774,1198.774902,912.911926,274.827759,897.291809,698.993652,79.866707,,,,,,,,,,,,,,,
62,1211.749390,880.957520,478.652496,803.448730,775.632202,93.583832,941.168457,782.638550,113.412979,1197.641602,912.266968,274.541870,897.157471,696.599121,80.600662,,,,,,,,,,,,,,,
63,1210.968018,880.730164,478.335846,802.286316,772.684570,95.389236,940.082703,780.348694,114.247948,1196.359375,911.546936,274.388855,896.411560,693.249207,82.780739,,,,,,,,,,,,,,,
64,1210.131958,880.470459,478.204865,800.864319,770.199219,96.558815,938.951233,778.125549,115.018143,1194.509766,910.874939,273.936768,895.557556,690.115906,84.229965,,,,,,,,,,,,,,,
65,1209.509033,880.156372,478.087280,799.289917,767.500610,98.459694,937.541138,775.719055,116.034645,1193.061401,910.348206,273.895569,894.870239,687.189148,85.998772,,,,,,,,,,,,,,,
66,1208.967041,879.787659,477.967560,797.753662,765.174316,99.604401,935.649719,773.414368,117.093292,1191.653564,909.621521,273.586243,893.549133,684.771118,87.761757,,,,,,,,,,,,,,,
67,1208.029053,879.506409,477.614502,796.163452,762.859497,100.340782,934.261475,771.200317,117.954750,1190.083496,908.388306,272.997101,892.550720,682.003601,89.406029,,,,,,,,,,,,,,,
68,1207.054443,878.875793,477.280365,794.937927,760.428223,101.713081,932.181946,768.998901,118.787384,1188.011108,907.635132,272.529388,891.281128,679.400269,90.974442,,,,,,,,,,,,,,,
69,1205.954102,878.468872,476.834961,793.008728,758.589783,102.778160,930.913208,766.621704,119.334915,1186.488159,906.717896,272.211884,890.436157,676.860352,92.388237,,,,,,,,,,,,,,,
70,1204.966309,878.206360,476.427094,791.498718,756.701416,103.248329,929.277954,764.503845,119.857758,1185.067627,905.832581,271.589813,888.808899,674.277466,93.722481,,,,,,,,,,,,,,,
71,1204.190918,877.798706,476.344818,789.941650,754.994751,103.807861,927.511353,762.357849,120.559319,1182.863525,904.936340,271.544189,887.415039,672.005798,95.159279,,,,,,,,,,,,,,,
72,1203.102539,877.212097,476.281830,788.298584,752.951660,104.898346,925.934448,760.216797,121.188828,1181.226440,903.768616,271.139771,885.849792,669.695068,96.221519,,,,,,,,,,,,,,,
73,1201.894409,876.824463,476.040619,786.182373,751.189270,105.471420,924.649170,758.274170,121.556587,1179.136963,901.730835,270.826141,884.375305,667.158936,97.924019,,,,,,,,,,,,,,,
74,1200.875000,876.397400,475.376160,784.517639,749.500000,105.525795,922.809814,756.075867,122.125847,1177.271729,900.529907,270.284668,882.780396,665.109619,98.817879,,,,,,,,,,,,,,,
75,1199.997925,875.849792,475.157562,782.739807,747.879822,106.186043,921.220581,754.193848,122.291779,1175.916382,899.352600,269.831360,881.099854,662.608704,100.391777,,,,,,,,,,,,,,,
76,1198.928833,875.256042,474.981934,781.104736,746.110413,106.242523,919.252930,752.037720,122.679260,1174.104004,898.144470,269.278229,879.481628,660.663757,101.401527,,,,,,,,,,,,,,,
77,1197.835938,874.767700,474.899597,779.618713,744.542725,105.898781,917.944580,750.189941,122.824219,1171.944946,897.222656,269.062195,878.020569,658.801025,102.174416,,,,,,,,,,,,,,,
78,1196.527222,874.155212,474.641083,777.655151,742.535889,106.085938,916.427551,748.419006,123.253952,1170.017822,895.820801,269.035675,876.276917,656.649902,103.116730,,,,,,,,,,,,,,,
