Grasp68
Date:,2025/04/22
Time:,16:06:55
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
38,791.339111,476.809906,33.251602,995.464844,711.373901,317.632782,1033.506592,813.794006,506.829865,879.713562,453.368225,60.255692,886.886353,537.200378,118.147820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,791.659607,476.379150,34.751724,996.107178,712.085144,318.277954,1033.544434,814.291565,507.053436,878.481201,452.474030,62.716053,885.753357,536.702087,120.698128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,791.696777,475.889557,37.200253,996.727600,712.974792,319.097717,1034.165649,814.650208,506.921844,877.381836,451.929108,65.437515,884.751587,536.479675,123.847038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,791.205078,475.412567,39.412823,997.350098,714.231812,319.478790,1035.175415,815.184387,507.032928,876.904053,452.428070,67.684212,884.305359,535.767029,126.542786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,790.554993,475.329803,42.820751,997.910217,715.525940,319.900970,1035.751587,815.613892,507.211456,875.127808,451.246307,71.015366,883.240356,535.085388,129.920181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,789.482178,474.987030,45.907768,998.534302,716.324768,320.174774,1036.058838,816.022339,507.508026,874.207397,450.410431,73.817047,882.730896,534.749878,132.343262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,787.605469,474.734894,49.702774,999.228882,717.344971,320.535614,1036.473877,816.633118,507.670258,873.608459,450.065033,76.179573,882.217773,534.613586,135.466339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,786.150818,474.170013,54.009331,1000.220215,718.580444,321.251526,1037.532471,817.029419,507.755066,872.958618,450.062775,79.115273,881.660400,534.597900,137.914337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,784.769470,473.854675,57.645588,1000.897827,719.641479,321.710846,1038.844971,817.314026,507.836029,872.032593,449.608215,81.810272,881.414124,534.565857,140.964752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,783.060486,473.747620,61.902451,1001.142395,721.050293,322.197693,1039.622559,817.598022,507.855194,871.210022,449.443054,84.432777,880.490662,534.279175,143.946548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
