Grasp124
Date:,2025/04/30
Time:,17:42:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
58,869.473877,671.636658,90.113503,989.014893,692.644470,131.928741,915.879333,617.369690,105.981468,1180.801147,786.195007,480.233826,,,,,,,,,,1163.202515,811.065552,277.288330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,989.223816,696.255981,131.936508,915.784607,620.831787,108.586472,1181.630493,786.535217,480.557220,,,,,,,,,,1164.470947,812.142761,278.013031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,989.636353,700.006165,132.100601,915.781006,623.972351,110.156815,1182.347900,786.916565,480.901764,,,,,,,,,,1165.902344,813.089233,278.636780,864.275330,687.813660,93.167847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,989.282654,703.071899,132.367340,916.423706,626.507019,112.403610,1182.819946,787.214050,481.252472,,,,,,,,,,1167.271606,813.720215,278.926758,862.673828,696.601990,93.414375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,989.289307,705.980591,132.594727,916.559326,628.832092,114.928268,1183.562378,787.568420,481.455261,,,,,,,,,,1168.899414,814.595642,279.203400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,989.341431,708.856995,132.981873,916.868469,631.289490,117.632500,1184.220215,788.100098,481.622681,,,,,,,,,,1170.236816,815.590210,279.536621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,988.805481,712.234192,133.105331,917.192139,633.292786,120.385727,1184.743408,788.546204,481.545044,,,,,,,,,,1170.930054,816.191467,280.092682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,987.958862,714.810791,133.084824,917.901062,635.433044,122.561607,1185.089966,789.005920,481.494965,,,,,,,,,,1171.368652,816.772095,280.295135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,986.907227,717.113525,133.328217,918.219727,637.292908,125.861710,1185.488281,789.459839,481.345673,,,,,,,,,,1171.981201,817.478149,280.630341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,985.901489,720.034546,134.778976,918.586975,639.097961,128.544403,1185.746094,789.751587,481.252472,,,,,,,,,,1172.587158,818.155273,280.996704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
