Grasp123
Date:,2025/04/23
Time:,14:06:25
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,905.370605,716.179382,137.688751,,,,771.437744,722.506592,139.003815,1143.194336,866.537781,395.459137,850.326660,626.688721,124.693520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,904.681763,715.964539,136.943115,,,,771.070801,721.745056,137.701157,1142.481934,866.522583,394.880554,849.839905,626.450623,123.843277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,904.521240,715.585815,136.014679,,,,770.402893,720.720154,136.734024,1141.874146,866.498596,394.711639,849.377502,626.045410,122.611282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,904.211182,715.470947,134.816071,,,,769.589294,719.612183,136.185196,1141.404175,866.459229,394.399261,848.865051,626.116516,121.268578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,903.894287,715.421814,133.883240,,,,769.093018,718.648926,136.008301,1140.888428,866.466003,394.171539,848.475464,625.869812,120.281555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,903.498169,715.287781,133.258270,,,,768.619019,717.748657,135.083679,1140.473145,866.419373,394.032410,848.021667,625.625793,119.333740,,,,,,,2325.270752,-491.601837,-151.868378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,902.697937,714.960999,132.610565,,,,768.175903,716.634888,134.103241,1140.034058,866.436523,393.875061,847.665222,625.209045,118.239555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,901.829956,714.813843,132.424469,,,,767.562012,715.479492,133.675949,1139.638794,866.439209,393.649658,847.441895,624.860535,117.471748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,901.030518,714.541260,132.212296,,,,766.911926,714.800293,133.509613,1139.259888,866.477783,393.558014,847.111023,624.425598,117.039680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,900.353455,714.204041,131.994751,,,,766.357788,714.315552,133.528687,1138.489990,866.555786,393.066376,846.593445,623.918213,116.794525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,899.962463,713.942017,131.848511,,,,765.983582,713.461975,133.614868,1137.913696,866.569275,392.796265,846.112976,623.481323,116.404060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
