Grasp120
Date:,2025/04/28
Time:,14:02:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
78,894.644226,757.392395,140.285873,1172.933472,823.917114,428.374695,1108.126343,880.526489,232.046432,763.172180,719.843628,125.170601,858.463074,665.008057,103.587837,,,,,,
79,893.648743,756.159912,140.241425,1172.362183,823.824158,428.245972,1106.940918,879.701355,231.609177,762.506409,718.245178,125.124985,858.694458,662.160767,104.989983,,,,,,
80,892.609680,754.981384,140.258972,1171.634644,823.858215,427.940674,1105.814209,878.840881,231.009109,761.573730,716.666870,124.224754,858.846191,659.640442,105.990997,,,,,,
81,891.872375,753.437195,140.191925,1170.933838,823.769226,427.517578,1104.957520,878.020264,230.655273,760.575134,715.109741,124.338860,858.816040,658.170227,106.346611,,,,,,
82,891.297546,752.213135,139.997360,1170.303345,823.674927,427.291748,1103.774780,877.416809,230.729965,759.790588,713.942017,124.540451,858.414124,657.432129,106.394012,,,,,,
83,890.105530,750.957275,139.581131,1169.651855,823.494812,426.819489,1102.470337,876.869812,230.449600,758.785461,712.431274,124.617500,857.939087,656.695984,106.167267,,,,,,
84,888.817078,749.595032,139.246902,1169.036987,823.364197,426.461334,1101.304932,876.242188,229.882858,758.343384,711.402405,123.708382,858.030518,654.676697,107.216545,,,,,,
85,888.360718,748.511658,138.848114,1168.395142,823.218567,426.297729,1100.455933,875.520813,229.506165,757.317383,710.030884,123.071136,857.894287,652.261658,107.698853,,,,,,
86,887.816589,747.436279,138.667450,1168.114624,823.176086,426.097473,1099.306030,874.659729,229.181671,756.562439,708.617249,122.682007,857.644409,650.280151,107.264267,,,,,,
87,886.879150,746.067444,138.320709,1168.233276,822.840698,425.970306,1098.041138,873.735596,228.991898,755.703369,707.459778,122.386452,857.442139,649.005310,106.604362,,,,,,
88,885.885498,744.911804,137.755219,1167.859009,822.591858,425.866821,1096.989990,873.249146,228.395035,754.635620,706.135986,121.582649,857.127502,648.325012,107.491661,,,,,,
89,885.098022,744.103882,137.209991,1167.232056,822.465576,425.692627,1095.822632,872.735107,227.637115,753.953125,704.874573,121.053391,857.015625,647.292114,107.329659,,,,,,
90,884.497559,742.907654,136.831436,1166.272217,822.458313,425.214020,1094.802490,872.153320,227.388428,753.290527,703.755127,120.630699,856.802429,646.265320,107.165688,,,,,,
91,883.726563,741.708862,136.496246,1165.450684,822.304443,424.824066,1093.974243,871.390503,227.214767,752.388367,702.338806,119.907852,856.663391,645.439148,107.113335,,,,,,
92,882.626404,740.732605,135.824677,1164.745483,822.178101,424.531677,1093.025146,870.688599,226.579208,751.775818,701.035583,119.058929,856.570557,644.765564,106.904160,,,,,,
93,881.743530,739.886963,135.170456,1164.120483,821.941467,424.217957,1092.064697,869.936829,226.075150,751.231873,699.748474,118.089157,856.384155,643.935486,106.634689,,,,,,
94,881.009216,738.820801,134.697556,1163.769653,821.760620,424.053955,1091.093384,869.373169,225.778427,750.737000,698.512451,117.448257,855.990479,642.497253,106.239174,,,,,,
95,880.541199,737.926392,134.158096,1163.282837,821.696289,423.927185,1090.292480,868.836853,225.492279,750.074219,697.247192,116.910088,855.262329,641.264160,105.862289,,,,,,
96,879.928040,737.089600,133.393799,1162.487915,821.448242,423.651123,1089.267578,868.105713,225.234863,749.152283,696.167725,116.826019,855.539185,639.921021,105.991943,,,,,,
97,879.339966,736.139526,132.476303,1162.347656,821.281860,423.244202,1088.403442,867.326172,224.614532,748.327209,694.694214,116.331535,855.621399,638.562256,106.077156,,,,,,
98,878.716309,735.188354,131.973969,1161.690063,821.067871,422.873291,1087.439941,866.606567,224.308472,748.133240,693.539795,115.647308,855.429443,637.432190,105.987671,,,,,,
99,878.049377,734.252197,131.580170,1160.567017,821.055176,422.508575,1086.711304,866.126099,224.100113,747.897034,692.527283,114.840691,854.874390,636.604431,105.581520,,,,,,
100,877.273376,733.442993,131.510071,1159.766235,820.978638,422.284027,1086.092163,865.815247,223.897125,747.650513,691.184509,114.147903,854.260803,635.910706,104.565292,,,,,,
101,876.717102,732.319763,131.100983,1159.120850,820.899963,422.276031,1085.531494,865.509644,223.713867,747.274231,690.009460,114.004486,853.370056,634.547485,104.135941,,,,,,
102,876.447083,731.256653,130.757523,1158.618896,820.741089,422.085602,1084.417358,864.942383,223.139328,746.498108,689.026184,114.285957,853.108215,633.152771,104.829643,,,,,,
103,876.184509,730.450073,130.118164,1157.913208,820.637634,421.759308,,,,746.234863,687.526367,113.849236,853.272766,632.169495,104.304535,,,,,,
104,875.935364,729.616760,129.523178,1156.707153,820.561768,421.326599,,,,746.489014,686.321472,113.091377,853.257996,631.969849,102.846420,1082.819580,863.564880,222.390381,,,
105,875.671997,728.590698,129.196625,1156.675049,820.152771,421.032288,,,,746.577148,684.958313,112.067909,852.773865,631.113708,102.184837,1082.445923,863.051514,222.026428,,,
106,875.018677,727.581421,128.879654,1156.169922,819.922546,420.967957,,,,746.709290,683.656982,111.651649,852.472717,629.877930,101.660378,1081.967529,862.744446,221.656296,,,
107,874.693054,726.775330,128.500351,1155.439087,819.732971,421.013794,,,,746.764832,682.471375,111.639801,852.352905,628.828064,101.157021,1081.228760,862.492249,221.161011,,,
108,874.418762,726.124084,128.354980,1154.458130,819.731873,420.812744,,,,746.666138,680.998108,111.522079,852.183228,628.227356,100.975342,1080.400635,862.108337,220.882523,,,
109,874.212463,725.265198,128.295761,1153.719116,819.628906,420.544800,,,,746.666992,679.741394,111.680031,851.652588,627.426941,100.839264,1079.365112,861.509277,220.665176,,,
110,874.291321,724.292786,128.000839,1153.073975,819.487427,420.196625,,,,746.821045,678.631348,111.654144,850.805176,626.469910,100.290741,1078.924927,860.962891,220.254837,,,
111,874.434387,723.548401,127.478676,1152.281860,819.432068,419.787292,,,,746.792236,677.092407,112.177063,850.132263,625.636292,99.827049,1078.786377,860.503784,219.922958,,,
112,874.602478,722.974304,127.122284,1151.680176,819.249390,419.557129,,,,746.736328,675.779236,112.292465,849.784729,625.033936,99.314590,1078.645508,859.895752,219.533096,,,
113,874.532532,722.349182,126.772598,1151.199219,819.059509,419.346252,,,,746.773193,674.826904,112.181236,849.441528,624.555603,99.052734,1078.433350,859.609131,219.225098,,,
114,874.484863,721.574890,126.585091,1150.692139,818.957520,419.201294,,,,746.929749,673.884216,112.023590,849.014404,624.129456,98.979164,1078.110596,859.344971,218.874817,,,
115,874.312073,720.817566,126.393181,1150.639893,818.633362,419.213348,,,,747.389587,672.964661,111.761940,848.352478,623.566223,99.151161,1077.784302,859.111511,218.492340,,,
116,874.097839,720.227295,126.190811,1150.115479,818.537476,419.257629,,,,747.745850,672.305054,111.480690,847.222107,623.034607,99.595215,1077.334595,858.990051,218.241394,,,
117,874.071960,719.819763,126.143227,1149.365356,818.511047,419.150604,,,,748.049194,671.588684,111.356583,846.000610,622.307739,99.558662,1076.732666,858.774963,217.904831,,,
118,873.893738,719.490845,126.199898,1148.570190,818.565857,418.814148,,,,748.537476,670.909241,111.092224,845.247742,621.722717,99.300514,1076.290039,858.649902,217.782806,,,
119,873.568054,719.085449,126.115211,1147.945557,818.442383,418.649567,,,,748.902832,670.228943,110.940224,844.753235,621.412476,99.110107,1076.038452,858.433655,217.679428,,,
120,873.374207,718.582703,126.048561,1147.211426,818.325439,418.495361,,,,749.192322,669.465698,110.680626,844.002014,621.021545,98.755104,1075.813232,858.176575,217.541519,,,
121,873.172058,718.151367,126.018440,1146.574585,818.207397,418.451538,,,,749.534424,668.526794,109.879784,843.087158,620.502502,98.481094,1075.651978,857.942627,217.419540,,,
122,873.072693,717.633972,125.973816,1145.980591,818.065613,418.374542,,,,750.304565,667.703613,109.294022,842.182373,620.083435,98.344086,1075.352783,857.869324,217.499207,,,
123,873.267334,717.165771,125.818672,1145.453247,817.920471,418.540131,,,,751.061584,667.079468,108.888924,841.797852,619.554565,97.962845,1075.089600,857.706787,217.428482,,,
124,873.504089,716.521423,125.669861,1145.449097,817.666260,418.497467,,,,751.532776,666.467407,108.430885,841.341553,619.259888,97.137619,1074.973145,857.514771,217.290253,,,
125,873.922058,715.999939,125.594261,1145.341064,817.405273,418.323456,,,,751.977783,665.806824,108.213318,841.120239,619.009888,96.479370,1074.843506,857.359192,217.126740,,,
126,874.102051,715.575317,125.609657,1144.813232,817.412170,418.346466,,,,752.315308,665.249512,108.059494,840.820068,618.724731,96.191536,1074.748413,857.072998,216.970932,,,
127,874.029053,715.108826,125.050072,1144.178955,817.340149,418.151337,,,,752.826599,664.771362,108.111557,840.822266,618.699585,95.327721,1074.568726,856.947327,216.742447,,,
128,874.101990,714.613098,124.930580,1143.374634,817.271240,418.005463,,,,753.204407,664.394043,107.965721,840.623718,618.726868,94.778427,1074.358887,856.866821,216.472961,,,
129,874.357849,714.341248,124.901886,1142.487671,817.171387,417.719971,,,,753.559143,664.019226,107.781021,840.601807,619.978821,94.134544,1074.067749,856.939392,216.293549,,,
130,874.435608,714.082825,124.923012,1141.793945,817.106201,417.668182,,,,753.677124,663.647705,107.974464,840.454163,621.344727,93.451622,1073.809814,856.994690,216.166916,,,
131,874.477356,713.774353,125.141342,1141.292969,816.948669,417.616852,,,,753.817383,663.394592,108.187859,839.783081,621.355591,93.707901,1073.542236,857.018799,216.043884,,,
132,874.132141,713.610107,125.851402,1140.885742,816.848816,417.617157,,,,754.003113,663.155029,108.255302,839.207214,620.476318,94.271790,1073.270752,857.103516,215.799316,,,
133,874.326294,713.139526,125.787880,1140.589600,816.791565,417.690033,,,,754.080811,663.035522,108.198105,839.180847,619.201111,94.909126,1072.945923,857.251953,215.745728,,,
134,874.119019,713.012817,126.097122,1140.178223,816.645264,417.800262,,,,754.171082,662.833618,108.168388,839.046082,617.973083,95.122711,1072.610107,857.435608,215.803207,,,
135,874.192871,712.628296,126.084938,1139.788940,816.557190,417.708313,,,,754.190674,662.532349,108.198120,838.845764,617.398865,95.549232,1072.375732,857.561279,215.948929,,,
136,874.179016,712.518677,126.085678,1139.421387,816.405640,417.786346,,,,754.138794,662.369812,108.247437,838.507263,617.325134,95.657211,1071.721436,857.355408,216.370865,,,
137,873.958679,712.443420,126.284363,1138.548828,816.328857,417.465851,,,,754.098267,662.174194,108.267624,,,,1071.283447,857.412292,216.477615,,,
138,873.759033,712.351013,126.441284,1137.715698,816.286194,417.340149,,,,754.057556,661.942200,108.297058,,,,1071.062012,857.686768,216.504364,837.986511,617.972168,95.155029
139,873.564697,712.293823,126.697868,1136.935547,816.207336,417.606689,,,,753.993591,661.718506,108.333359,,,,1070.859497,857.825867,216.521515,837.851929,617.922974,95.384331
140,873.390198,712.315186,126.864197,1136.154663,816.239990,417.660828,,,,753.922546,661.386841,108.737228,,,,1070.616455,857.961609,216.501862,837.705872,617.807922,95.421913
141,873.176392,712.456909,127.065186,1135.611328,816.114197,417.743744,,,,753.803162,661.170410,108.702072,,,,1070.589844,858.358643,216.441635,837.637939,617.686035,95.783646
142,872.860474,712.636414,127.348427,1134.948120,815.983643,417.784576,,,,753.723755,661.068665,108.664398,,,,1070.434814,858.668396,216.432220,837.543762,617.442383,96.405365
143,872.103088,712.752686,127.974945,1134.420654,815.794800,417.750580,,,,753.564209,660.967529,108.706474,,,,1070.183594,858.853699,216.477966,837.302856,617.235413,97.152245
