Grasp17
Date:,2025/04/15
Time:,13:41:56
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
62,813.742493,473.894287,32.127754,915.227966,570.747131,66.301399,893.636230,800.246704,264.055084,899.463501,476.786530,32.258438,910.045593,823.957886,443.911835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,814.634216,473.932220,32.141182,915.437866,571.074890,66.388000,893.652405,800.628113,264.208038,900.490784,477.483673,32.125481,910.261353,824.195251,444.095123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,815.604858,473.909973,32.171932,915.666626,571.566345,66.439484,893.403259,801.120850,264.406433,901.359131,478.124603,31.887987,910.501282,824.327026,444.478851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,816.666199,473.873047,32.355751,915.976807,572.183350,66.465759,893.593506,801.669434,264.636902,902.216431,478.824005,32.347954,910.613098,824.382263,445.039520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,818.139038,473.944824,32.125015,916.200562,573.079895,66.136169,893.685425,802.212585,265.066925,903.170715,479.250519,32.601826,910.839966,824.656921,445.228058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,819.551819,473.999329,31.837914,916.862000,574.132996,66.112785,893.720947,802.513672,265.313293,904.263794,479.745972,32.496246,911.158508,825.017334,445.460144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,820.691833,473.972015,31.880463,917.524658,575.028870,66.568680,893.439636,803.031921,265.428101,905.366516,480.589325,32.352280,911.339050,825.376648,445.791809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,822.022034,474.089874,32.175484,917.871643,575.481140,67.011559,893.224915,803.804382,265.988495,906.444458,481.662903,32.312771,911.770020,825.575745,446.164673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,823.704163,474.222809,31.916780,918.119629,576.232544,67.531029,893.172852,804.587036,266.580780,907.714355,482.459869,32.203037,911.951904,826.020569,446.395660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,825.423279,474.347168,31.769922,918.455139,577.392883,67.945236,893.177490,805.404541,266.783630,909.230591,482.984161,31.977093,912.371704,826.466675,446.587463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,827.187561,474.335907,32.150459,918.941101,578.786682,67.805367,893.233887,806.122009,267.251007,910.744141,484.051880,32.274063,912.908630,826.925781,446.775208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
