Grasp127
Date:,2025/05/06
Time:,14:07:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
88,883.219727,629.695374,198.032578,749.948792,597.050171,174.169327,818.136047,562.037537,145.933777,,,,,,,,,,,,,1135.661011,789.799255,434.033966,,,,,,,1075.389893,822.545105,256.554260,,,,,,,,,,,,,,,
89,881.677246,631.398315,197.693527,748.927063,600.238281,171.963470,816.673035,564.237427,144.557022,,,,,,,,,,,,,1135.663086,789.882751,434.067780,,,,,,,1075.578613,822.790344,256.738403,,,,,,,,,,,,,,,
90,880.574585,632.750671,197.146103,747.659119,603.057251,170.565445,815.468689,566.489136,143.342789,,,,,,,,,,,,,1135.593384,789.908630,434.096313,,,,,,,1075.652954,823.088745,256.901367,,,,,,,,,,,,,,,
91,879.858704,634.766968,196.004288,746.226624,605.837708,168.847397,814.269836,568.871765,141.920746,,,,,,,,,,,,,1135.514160,789.930115,434.034149,,,,,,,1075.662231,823.602783,256.970398,,,,,,,,,,,,,,,
92,878.443359,636.180298,195.377945,745.143738,608.618347,166.853241,813.301697,570.983521,140.537964,,,,,,,,,,,,,1135.430420,789.980164,434.065765,,,,,,,1075.677124,823.807190,257.202087,,,,,,,,,,,,,,,
93,877.605896,637.421143,194.746658,743.908752,610.889954,165.633484,812.413208,573.245056,138.905334,,,,,,,,,,,,,1135.355103,789.991882,434.131805,,,,,,,1075.731079,824.060730,257.407623,,,,,,,,,,,,,,,
94,876.821289,639.352478,193.172241,742.565796,613.367798,163.751602,811.078125,575.284973,137.079666,,,,,,,,,,,,,1135.279663,790.015503,434.175018,,,,,,,1075.757080,824.425537,257.523987,,,,,,,,,,,,,,,
95,875.860779,640.557007,192.287231,742.112610,615.428955,161.673996,810.665771,577.153503,135.121582,,,,,,,,,,,,,1135.133423,789.977905,434.153046,,,,,,,1075.737793,824.638672,257.585205,,,,,,,,,,,,,,,
96,875.119263,641.605469,191.361496,741.541382,617.667297,159.387497,809.917236,578.846924,133.200378,,,,,,,,,,,,,1134.972168,790.038879,434.131531,,,,,,,1075.614746,824.774475,257.722717,,,,,,,,,,,,,,,
97,874.451233,643.201355,189.355362,741.142700,619.907166,156.502274,809.431519,580.593384,131.470261,,,,,,,,,,,,,1134.809326,790.060913,434.152771,,,,,,,1075.563477,824.894958,257.760742,,,,,,,,,,,,,,,
