;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
59;875.475952;715.764648;124.833015;1062.890991;878.578674;204.587112;755.189026;671.920288;109.811050;;;;829.473389;622.699951;99.371117;1097.219971;840.502136;413.935181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;875.042297;715.687378;125.354591;1062.744629;878.615112;204.552063;754.941650;671.903381;109.996239;;;;829.176147;622.686890;99.682045;1097.006470;840.488525;413.483063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;874.538086;715.671448;126.028831;1062.595337;878.443542;204.444885;754.585205;671.905334;110.131561;;;;828.931030;622.727478;100.034821;1096.780029;840.505310;413.252869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;874.023926;715.638489;126.245140;1062.494995;878.352539;204.399139;754.192261;671.835815;110.127754;;;;828.581238;622.921570;100.543724;1096.400391;840.496582;413.222198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;873.543213;715.630188;126.738205;1062.342407;878.516418;204.382309;753.916565;671.911987;110.105598;;;;828.135681;623.144348;101.141373;1095.883423;840.574524;413.328125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;873.095825;715.692566;127.212990;1062.121338;878.707764;204.309464;753.317261;672.023621;110.349617;;;;827.686157;623.434509;101.799629;1095.372192;840.611633;413.289124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;872.537231;715.694763;127.766441;1061.771240;878.553833;204.253311;752.666687;672.186707;110.761063;;;;826.978027;624.068298;102.242668;1095.005859;840.662903;413.231262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;871.963074;715.964417;128.203735;1061.146606;878.617249;204.305649;752.004822;672.258240;111.062386;;;;826.199890;624.329529;102.794518;1094.671387;840.666199;413.176849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;871.447388;716.095337;128.427460;1060.369019;878.473083;203.862900;751.670593;672.445313;111.282394;;;;825.479614;624.025085;103.585846;1094.227905;840.646912;413.198547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;870.710999;716.203369;128.844254;1059.581421;878.473328;203.708206;750.933105;672.735413;111.856552;;;;824.681946;623.524841;105.072998;1093.493408;840.617432;413.248840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;870.008972;716.421265;129.386093;1059.003418;878.708496;204.025925;749.822266;673.000610;112.898613;;;;823.912170;622.935669;106.446541;1092.833008;840.478088;413.298584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
