Weight62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;12:59:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
55;762.497192;674.602661;109.278824;874.433228;701.254333;97.884888;828.389282;619.711304;110.314156;1080.009155;807.276489;211.334045;1093.910278;789.343140;303.468323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;762.523926;674.627747;109.229523;874.406860;701.174988;97.804634;828.351685;619.657532;110.302750;1080.008179;807.375793;211.347260;1093.879395;789.449768;303.435852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;762.580078;674.695862;109.203011;874.458435;701.142517;97.813858;828.309082;619.500244;110.344620;1080.064453;807.394470;211.395737;1093.881714;789.519714;303.440948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;762.567383;674.629517;109.215668;874.474792;701.143982;97.824310;828.335815;619.426941;110.400360;1080.076050;807.437439;211.413635;1093.882813;789.568909;303.451813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;762.589355;674.679565;109.222862;874.829956;701.002441;97.425781;828.276184;619.409668;110.409576;1080.015381;807.529785;211.322632;1093.821045;789.640625;303.373779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;762.624939;674.699768;109.204773;874.665527;701.074890;97.541611;828.372070;619.383484;110.422195;1080.014526;807.575012;211.323242;1093.741211;789.692993;303.317017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;762.584229;674.721191;109.238297;874.904419;700.854004;97.174736;828.251343;619.348022;110.432922;1080.001709;807.593323;211.316833;1093.728882;789.758606;303.418915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;762.610168;674.701782;109.218727;874.707092;701.018555;97.526711;828.192322;619.327881;110.441948;1079.880737;807.708801;211.326752;1093.651245;789.865356;303.401306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;762.648804;674.602722;109.190331;874.625183;700.930725;97.564140;828.175232;619.326050;110.444748;1079.964722;807.775146;211.325729;1093.631104;789.978333;303.397339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;762.630188;674.681702;109.215462;874.500671;700.990723;97.761398;828.142883;619.256592;110.426369;1079.900024;807.950439;211.326645;1093.626831;789.994446;303.371002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;762.603760;674.622742;109.206215;874.483276;701.004150;97.874031;828.128967;619.209106;110.484894;1079.868530;808.078918;211.340958;1093.543213;790.088989;303.319336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;762.608704;674.689697;109.231781;874.500610;700.917480;97.866493;828.095703;619.178345;110.568069;1079.788330;808.253113;211.399826;1093.520996;790.204163;303.321777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;762.643921;674.695129;109.198631;874.511230;700.894531;97.824036;828.056396;619.168762;110.542358;1079.875977;808.401733;211.390244;1093.489380;790.283569;303.261078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;762.627380;674.705627;109.217300;874.598633;700.799500;97.778229;828.033752;619.245117;110.538399;1079.886597;808.593628;211.382248;1093.400146;790.388672;303.199280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;762.722107;674.681580;109.225426;874.626892;700.787659;97.798073;827.931702;619.212097;110.507378;1079.877563;808.795593;211.400757;1093.373291;790.419189;303.215424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;762.715027;674.682922;109.252289;874.630798;700.696228;97.877914;827.909546;619.211365;110.592140;1079.860229;809.078186;211.541336;1093.348633;790.514160;303.229156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;762.693054;674.686890;109.270500;874.719543;700.634094;97.875641;827.877014;619.123169;110.666405;1079.830322;809.378479;211.555878;1093.253418;790.524231;303.286377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;762.712036;674.709412;109.281975;874.805298;700.510254;97.887856;827.686340;618.983887;110.723938;1079.831909;809.688171;211.713882;1093.145630;790.646362;303.173920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;762.777222;674.694519;109.202057;874.880249;700.370911;98.036957;827.585510;618.819946;110.797707;1079.734619;810.099243;211.911179;1093.102051;790.712524;303.145935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;762.776855;674.705017;109.130226;874.849976;700.192017;98.375740;827.377258;618.661194;110.877945;1079.632813;810.479858;212.158325;1093.103882;790.814819;303.163086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;762.794617;674.806213;109.118034;874.890320;699.956177;98.635605;827.253967;618.537415;110.945129;1079.450806;810.857117;212.412445;1093.102295;790.947266;303.188690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;762.845459;674.849365;109.116203;875.111389;699.787659;99.093674;827.145020;618.567932;111.037460;1079.307373;811.196411;212.619705;1092.855103;791.175293;303.436127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;762.859131;674.839844;109.202522;875.322327;699.525208;99.520180;826.954468;618.636841;111.084999;1079.257690;811.340271;212.750977;1092.751953;791.483276;303.544067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;762.834656;674.815186;109.219360;875.384827;699.327576;99.887756;826.721863;618.679077;111.073662;1079.229004;811.746948;212.858002;1092.520020;791.764221;303.542267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
