;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
36;725.105408;687.217224;238.186157;792.393066;970.322937;295.301727;894.613953;981.765442;477.574677;;;;724.174255;629.121460;151.140045;;;;;;;669.929443;613.869995;159.420105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;720.963745;687.314270;238.771988;789.992615;969.945923;296.449097;893.464355;981.529114;478.148376;;;;719.440857;629.333130;151.675888;;;;;;;664.733154;612.964111;160.737900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;717.063477;687.312683;239.623764;788.276184;969.471436;297.261383;892.600525;981.026550;478.442505;;;;714.668457;629.079712;152.565659;;;;;;;660.335083;612.477722;162.049805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;712.977661;687.361450;240.036560;786.218811;968.782227;298.224335;891.534180;980.547668;478.862518;;;;710.235840;629.182007;153.906998;;;;;;;656.102234;613.593018;162.794830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;708.668152;687.387390;240.670868;784.151733;968.408142;298.688629;891.014099;979.968506;479.253021;;;;705.507813;629.065796;154.566422;;;;;;;651.356140;614.712524;162.917053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;704.462708;687.293396;241.743591;782.363342;967.750366;299.403442;890.270142;979.545532;479.639862;;;;700.948120;628.034485;155.522873;;;;;;;646.681213;615.584473;163.188599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;700.551392;687.213745;242.212494;780.128845;967.091248;300.850098;889.619141;979.142273;480.190002;;;;696.071350;627.847534;155.926224;;;;;;;641.369507;615.637329;164.070740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;696.541809;687.279785;242.337418;778.056519;966.474121;302.132996;888.710510;978.510376;480.574249;;;;690.894287;628.535339;155.932495;;;;;;;635.952637;615.535095;165.186325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;692.043030;687.241150;242.189346;776.040039;965.812195;302.898987;887.694885;977.752014;480.988831;;;;686.001831;628.853882;155.819382;;;;;;;630.845825;615.524719;165.833771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;687.875488;687.124268;242.649445;773.601868;965.239197;303.878998;886.810730;977.146057;481.096069;;;;681.207947;629.101135;156.290619;;;;;;;626.567017;616.314880;166.061203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;683.660767;686.961670;243.149612;772.067566;964.533020;304.236572;886.157288;976.626038;481.127777;;;;676.368896;629.225647;156.780655;;;;;;;622.220703;617.378967;165.795898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;679.326965;686.921509;243.554596;770.018188;963.563232;305.371277;885.285461;976.042847;481.378571;;;;671.347900;629.419250;156.956161;;;;;;;617.356689;618.274109;166.860474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;675.192871;687.011475;243.885605;767.753967;962.780945;306.431030;884.227966;975.360962;481.624176;;;;666.588196;629.446655;156.876297;;;;;;;612.472839;618.436890;167.511505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;671.139526;686.926697;244.195282;765.624146;961.949829;307.665009;883.126099;974.849487;481.955688;;;;661.809326;629.088074;157.167831;;;;;;;607.212341;618.074341;168.232956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;666.620361;686.920471;243.864075;763.076416;961.292236;309.026031;882.347168;974.283447;482.231567;;;;656.935486;628.342163;157.632141;;;;;;;601.897949;617.866150;168.446732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;662.313416;686.740662;243.762131;760.540894;960.528442;309.897156;881.556396;973.550232;482.538605;;;;651.795959;628.514465;157.742920;;;;;;;596.864868;618.298279;168.221405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;658.141663;686.729614;243.904922;759.430115;959.243286;310.631409;880.595947;972.742126;482.835297;;;;647.083679;628.738281;158.170532;;;;;;;591.965454;619.287292;168.288452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;654.008118;686.765503;243.830200;756.814331;958.491272;311.211334;879.478882;972.115601;483.362854;;;;642.517639;628.445862;158.163269;;;;;;;587.200562;620.110291;168.248215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;649.682068;686.607117;243.906418;754.594238;957.793396;312.476074;878.067017;971.565491;484.145386;;;;637.647400;628.401367;157.928131;;;;;;;582.283875;620.594116;168.080566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;645.314636;686.585938;243.751724;752.754395;956.594421;313.782043;876.904053;970.592224;484.837952;;;;632.649475;629.092834;157.909042;;;;;;;576.956421;620.617065;167.735992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;641.064026;686.599915;243.538864;750.878540;955.493591;314.673767;876.091736;969.705872;485.030365;;;;627.385986;630.431946;157.054947;;;;;;;571.952454;620.905945;167.968002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;636.839233;686.511230;243.759262;748.311340;954.427795;315.903442;875.677124;968.857666;484.955780;;;;622.456970;631.028870;156.569473;;;;;;;567.688904;621.715393;167.695313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;632.681091;686.661499;243.797119;746.756042;953.617981;316.572754;874.948425;968.008118;485.218414;;;;617.772400;631.078674;156.793869;;;;;;;562.991882;622.476868;168.170151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;628.501892;686.620300;243.071609;744.323730;952.739197;317.262390;873.737427;967.194092;485.443756;;;;612.815918;631.473022;156.576477;;;;;;;557.969727;622.646240;168.537247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;624.680847;686.803589;242.741745;742.425049;951.303162;318.723633;872.496521;966.509399;485.949249;;;;608.532898;631.559326;155.683975;;;;;;;553.172363;622.819702;168.448212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;620.728149;686.924683;242.467804;740.929871;950.025208;319.648468;871.360657;965.852295;486.395050;;;;603.769836;631.781189;155.688873;;;;;;;549.229248;623.571472;167.696304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;616.411194;686.982727;242.482330;738.616699;949.005981;320.862854;869.861694;964.966675;486.705902;;;;599.168884;632.463013;155.398468;;;;;;;545.100098;624.466431;167.228088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;612.493286;687.135193;241.734482;736.656494;948.213013;321.115540;868.884949;964.227966;487.208679;;;;594.732422;632.937561;154.592804;;;;;;;540.264832;624.868896;167.756073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;608.365479;687.252502;241.458679;734.775024;947.032043;322.065063;867.988037;963.374084;487.939758;;;;590.235718;633.389526;154.079041;;;;;;;534.847412;625.441895;167.521881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;604.373108;687.476807;240.689392;732.977783;945.641541;323.183075;867.007874;962.260925;488.550568;;;;585.908386;633.977112;153.359512;;;;;;;531.356201;626.503662;166.185120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;600.670959;687.469666;240.372925;730.934875;944.390320;324.382996;866.205627;961.242188;488.621002;;;;581.114136;634.330505;152.470215;;;;;;;526.680847;627.219360;165.453033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;597.227661;687.565857;239.767090;729.473389;943.158691;325.245850;865.493103;960.398254;488.687256;;;;577.339050;635.020081;151.682083;;;;;;;522.018555;627.772278;165.639847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;593.295837;687.649414;239.538757;727.192627;942.060791;325.986877;864.212097;959.426514;489.091980;;;;573.216614;635.378296;151.498291;;;;;;;517.998474;628.533630;165.105057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;589.769653;687.929688;238.523895;725.327759;941.083252;326.705261;862.952454;958.424438;489.452454;;;;568.871094;635.554871;150.629898;;;;;;;513.860474;629.117920;164.286743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;586.076721;688.039673;237.847885;723.410034;939.787781;327.724152;861.759888;957.561462;489.670135;;;;565.075134;635.770203;150.091766;;;;;;;509.762024;629.708130;163.790161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;582.507751;688.048523;237.151382;721.975098;938.384705;328.448914;860.584900;956.472412;489.983704;;;;561.685547;635.986938;149.535217;;;;;;;506.031830;630.235291;163.303497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;579.115540;688.348633;236.327759;720.048767;937.112793;329.618103;859.675903;955.685669;490.264191;;;;557.426941;636.189026;149.165359;;;;;;;502.135254;630.701904;162.574371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;575.626343;688.339355;235.693207;;;;859.630859;954.671692;490.318512;;;;553.749451;636.115234;148.107010;;;;;;;498.732239;632.395020;161.116760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;572.471252;688.460327;234.843781;;;;858.244629;953.616882;491.011322;;;;549.912537;636.890808;147.374802;;;;;;;495.470032;633.322815;159.636063;716.711975;934.619019;330.703308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;569.210754;688.747253;234.011261;;;;856.757690;952.619690;491.599426;;;;546.374451;637.253296;146.561630;;;;;;;491.608002;634.375305;158.321747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;566.221069;688.867493;233.506927;;;;855.570740;951.744751;491.924652;;;;543.145874;637.698853;145.479538;;;;;;;488.184174;634.691833;157.662979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;562.904114;689.006348;232.341736;;;;853.836548;950.891846;492.222046;;;;540.009399;638.360107;144.318802;;;;;;;484.756897;635.317200;156.860733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;560.124207;689.259888;231.581711;;;;852.455322;950.096741;492.616180;;;;536.228149;638.718567;143.688461;;;;;;;481.842865;635.818542;156.008835;;;;710.175476;929.866943;334.145508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
