Circle61
Date:,2025/04/28
Time:,13:58:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
367,,,,,,,,,,571.986877,-25.662197,19.335859,,,,,,
368,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,571.708618,-24.046717,18.921921,,,
370,,,,,,,,,,,,,571.754089,-22.373421,19.853643,,,
371,,,,,,,,,,,,,571.559631,-21.173349,19.909002,,,
372,,,,,,,,,,,,,571.390381,-20.221233,19.780973,,,
373,,,,,,,,,,,,,571.409424,-19.379745,19.967478,,,
374,,,,,,,,,,,,,571.438599,-18.124853,20.055548,,,
375,,,,,,,,,,,,,571.419861,-16.895731,19.852381,,,
376,,,,,,,,,,,,,571.305725,-16.022839,19.772013,,,
377,,,,,,,,,,,,,571.225281,-15.165596,19.847555,,,
378,,,,,,,,,,,,,571.258484,-13.741345,19.700357,,,
379,,,,,,,,,,,,,571.400757,-12.656413,19.430933,,,
380,,,,,,,,,,,,,571.180603,-11.822419,20.040573,,,
381,,,,,,,,,,,,,571.043030,-10.686863,20.141287,,,
382,,,,,,,,,,,,,571.109192,-9.217299,20.003433,,,
383,,,,,,,,,,,,,571.217041,-8.310450,20.167925,,,
384,,,,,,,,,,,,,571.036804,-7.408168,20.156118,,,
385,,,,,,,,,,,,,571.045349,-5.993059,19.846333,,,
386,,,,,,,,,,,,,571.242371,-4.627505,19.622711,,,
387,,,,,,,,,,,,,571.048279,-3.838543,19.994909,,,
388,,,,,,,,,,,,,570.994507,-2.506786,20.050598,,,
389,,,,,,,,,,,,,571.018250,-1.053123,20.063578,,,
390,,,,,,,,,,,,,571.008606,-0.033762,20.018803,,,
391,,,,,,,,,,,,,571.000122,1.109472,19.783937,,,
392,,,,,,,,,,,,,570.995361,2.497375,19.761150,,,
393,,,,,,,,,,,,,571.244202,3.574278,19.873852,,,
394,,,,,,,,,,,,,571.302307,4.529531,19.986656,,,
395,,,,,,,,,,,,,571.387207,5.743058,19.972481,,,
396,,,,,,,,,,,,,571.579834,7.065477,19.788446,,,
397,,,,,,,,,,,,,571.608704,7.841320,20.220348,,,
398,,,,,,,,,,,,,571.773865,9.113976,20.072470,,,
399,,,,,,,,,,,,,571.846619,10.460768,19.720215,,,
400,,,,,,,,,,,,,572.040161,11.450384,20.096718,,,
401,,,,,,,,,,,,,572.222839,12.459222,20.298357,,,
402,,,,,,,,,,,,,572.486206,13.599156,20.192444,,,
403,,,,,,,,,,,,,572.968018,14.766765,19.901487,,,
404,,,,,,,,,,,,,573.144592,15.404952,19.964504,,,
405,,,,,,,,,,,,,573.438171,16.311056,20.287857,,,
406,,,,,,,,,,,,,573.633179,17.801325,20.452423,,,
407,,,,,,,,,,,,,574.162781,18.733181,20.555120,,,
408,,,,,,,,,,,,,574.530457,19.422701,20.402847,,,
409,,,,,,,,,,,,,574.926331,20.710178,20.308191,,,
